id,nct_id,allocation,intervention_model,observational_model,primary_purpose,time_perspective,masking,masking_description,intervention_model_description,subject_masked,caregiver_masked,investigator_masked,outcomes_assessor_masked
93307202,NCT03496077,RANDOMIZED,CROSSOVER,,OTHER,,NONE,,Randomized cross-over study,,,,
93307203,NCT05896189,RANDOMIZED,PARALLEL,,PREVENTION,,DOUBLE,,,True,False,False,True
93307204,NCT00532168,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307205,NCT05465759,,,COHORT,,RETROSPECTIVE,,,,,,,
93307206,NCT02804321,,,COHORT,,PROSPECTIVE,,,,,,,
93307207,NCT06026475,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,Participant will be masked about allotment of interventional group either CVP or SVV .,"Patients in Conventional Group will be given intraoperative fluids guided by CVP Values .

Patients in GDFT Group will be given fluids guided by SVV values.",True,False,False,False
93307208,NCT03019081,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93307209,NCT01626508,,,COHORT,,PROSPECTIVE,,,,,,,
93307210,NCT02167919,NA,SINGLE_GROUP,,DEVICE_FEASIBILITY,,NONE,,,,,,
93307211,NCT02205775,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307212,NCT01013545,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,False,True
93307213,NCT03943017,,,OTHER,,PROSPECTIVE,,,,,,,
93307214,NCT01144962,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,False,True,True
93414904,NCT01376115,,,COHORT,,PROSPECTIVE,,,,,,,
93414905,NCT02207127,,,COHORT,,PROSPECTIVE,,,,,,,
93414906,NCT03622294,NA,SINGLE_GROUP,,SUPPORTIVE_CARE,,NONE,,"Participants will be female, asymptomatic patients randomly scheduled for a screening mammogram.",,,,
93414907,NCT00400504,,,DEFINED_POPULATION,,PROSPECTIVE,,,,,,,
93414908,NCT03463980,RANDOMIZED,PARALLEL,,PREVENTION,,NONE,,,,,,
93414909,NCT04543526,,,CASE_ONLY,,PROSPECTIVE,,,,,,,
93414910,NCT01078389,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93523504,NCT00077441,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93523505,NCT00663897,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93523506,NCT01668953,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,True,False,False,False
93523507,NCT02819245,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93543874,NCT01553565,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307215,NCT05488288,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,True,False,False,False
93307216,NCT05046925,,,OTHER,,PROSPECTIVE,,,,,,,
93307217,NCT00364377,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93307218,NCT00822770,RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307219,NCT00621205,RANDOMIZED,PARALLEL,,BASIC_SCIENCE,,NONE,,,,,,
93307220,NCT05069298,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,True,False,True
93307221,NCT03894319,,,COHORT,,PROSPECTIVE,,,,,,,
93307222,NCT01772563,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307223,NCT02542098,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307224,NCT00565838,,,CASE_ONLY,,PROSPECTIVE,,,,,,,
93307225,NCT05075512,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307226,NCT05779917,NA,SINGLE_GROUP,,TREATMENT,,NONE,,Use engineered CAR-T cells to kill cancer cells with mesothelin overexpression.,,,,
93307227,NCT04817605,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307228,NCT00244647,RANDOMIZED,SINGLE_GROUP,,TREATMENT,,SINGLE,,,,,,
93307229,NCT01427049,,,COHORT,,PROSPECTIVE,,,,,,,
93307230,NCT05666817,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,SINGLE,2,"The study will be conducted with 76 women, 38 controls and 38 interventions.",True,False,False,False
93307231,NCT01192776,RANDOMIZED,FACTORIAL,,TREATMENT,,NONE,,,,,,
93307232,NCT00736125,RANDOMIZED,PARALLEL,,PREVENTION,,SINGLE,,,True,False,False,False
93307233,NCT04374383,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,False,True
93307234,NCT01859611,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307235,NCT04908306,,,COHORT,,PROSPECTIVE,,,,,,,
93307236,NCT01408810,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307237,NCT00136110,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,,,,
93307238,NCT05833659,,,COHORT,,OTHER,,,,,,,
93307239,NCT03349411,,,COHORT,,PROSPECTIVE,,,,,,,
93307240,NCT00000983,,,,TREATMENT,,,,,,,,
93307241,NCT01371071,,,COHORT,,PROSPECTIVE,,,,,,,
93307242,NCT00385307,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93307243,NCT03251612,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307244,NCT02719041,,,CASE_ONLY,,RETROSPECTIVE,,,,,,,
93307245,NCT02045290,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307246,NCT01938313,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307247,NCT03790904,RANDOMIZED,CROSSOVER,,PREVENTION,,QUADRUPLE,,,True,True,True,True
93307248,NCT04885647,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93414911,NCT02615665,,,COHORT,,RETROSPECTIVE,,,,,,,
93414912,NCT01917565,,,CASE_CROSSOVER,,CROSS_SECTIONAL,,,,,,,
93414913,NCT00643331,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,False,True
93307249,NCT00019695,,,,TREATMENT,,,,,,,,
93307250,NCT00890799,NA,SINGLE_GROUP,,TREATMENT,,SINGLE,,,True,False,False,False
93414914,NCT01002573,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93414915,NCT01579240,NA,SINGLE_GROUP,,PREVENTION,,NONE,,,,,,
93414916,NCT02249273,,,COHORT,,PROSPECTIVE,,,,,,,
93414917,NCT05457712,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,"Due to the nature of the intervention, full blinding will not be possible. However, the statistical analysis team will be blinded.","Randomized clinical trial, pragmatic, with blind evaluation of outcomes.",False,False,False,True
93414918,NCT02812823,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93414919,NCT01454895,RANDOMIZED,FACTORIAL,,PREVENTION,,NONE,,,,,,
93414920,NCT03377218,RANDOMIZED,PARALLEL,,PREVENTION,,QUADRUPLE,,,True,True,True,True
93414921,NCT04622059,RANDOMIZED,PARALLEL,,DIAGNOSTIC,,NONE,,,,,,
93414922,NCT02286206,NA,SINGLE_GROUP,,OTHER,,NONE,,,,,,
93414923,NCT03518307,,,OTHER,,RETROSPECTIVE,,,,,,,
93414924,NCT00133276,RANDOMIZED,PARALLEL,,PREVENTION,,DOUBLE,,,True,False,True,False
93414925,NCT06401902,,,COHORT,,PROSPECTIVE,,,,,,,
93199282,NCT01728792,RANDOMIZED,PARALLEL,,PREVENTION,,NONE,,,,,,
93307251,NCT05350488,,,COHORT,,OTHER,,,,,,,
93307252,NCT00060437,,,,TREATMENT,,NONE,,,,,,
93307253,NCT02632812,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307254,NCT05762419,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307255,NCT00342537,,,FAMILY_BASED,,OTHER,,,,,,,
93307256,NCT05399368,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,Double blind,,True,False,True,True
93307257,NCT01130649,,,OTHER,,OTHER,,,,,,,
93307258,NCT04044703,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307259,NCT01854307,NA,SINGLE_GROUP,,HEALTH_SERVICES_RESEARCH,,NONE,,,,,,
93307260,NCT02602483,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307261,NCT06300983,RANDOMIZED,PARALLEL,,PREVENTION,,NONE,,,,,,
93307262,NCT05426993,,,COHORT,,PROSPECTIVE,,,,,,,
93307263,NCT01486368,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307264,NCT02486419,,,COHORT,,CROSS_SECTIONAL,,,,,,,
93307265,NCT03913169,NON_RANDOMIZED,SINGLE_GROUP,,HEALTH_SERVICES_RESEARCH,,NONE,,The intervention utilized in this project will involve a 2-year curriculum. The year one/pre-clinical curriculum will be presented to pre-clinical DO and PA students. The year two/clinical curriculum will be presented to third year Doctor of Osteopathic Medicine (DO) students and second year Physician Assistant (PA) students once clinic sites are identified.,,,,
93307266,NCT04457817,,,COHORT,,PROSPECTIVE,,,,,,,
93307267,NCT03531554,RANDOMIZED,CROSSOVER,,OTHER,,DOUBLE,"Double (Participant, Outcomes Assessor)","randomized, blinded, placebo controlled, 2-way cross-over trial",True,False,False,True
93307268,NCT03045809,,,OTHER,,CROSS_SECTIONAL,,,,,,,
93307269,NCT01617499,,,COHORT,,PROSPECTIVE,,,,,,,
93307270,NCT01341249,RANDOMIZED,CROSSOVER,,,,NONE,,,,,,
93307271,NCT01182064,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93307272,NCT05132855,RANDOMIZED,PARALLEL,,PREVENTION,,SINGLE,,,True,False,False,False
93414926,NCT01973673,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,NONE,,,,,,
93414927,NCT04823494,NON_RANDOMIZED,CROSSOVER,,TREATMENT,,DOUBLE,,,True,True,False,False
93414928,NCT02789761,RANDOMIZED,PARALLEL,,PREVENTION,,DOUBLE,,,True,False,True,False
93414929,NCT04114227,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,NONE,,,,,,
93414930,NCT03618576,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93414931,NCT05645731,,,COHORT,,PROSPECTIVE,,,,,,,
93414932,NCT05584917,NA,SINGLE_GROUP,,SUPPORTIVE_CARE,,NONE,,,,,,
93307273,NCT01253447,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307274,NCT03177200,,,COHORT,,PROSPECTIVE,,,,,,,
93307275,NCT01860547,RANDOMIZED,CROSSOVER,,PREVENTION,,NONE,,,,,,
93307276,NCT05085561,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,True,True,False
93307277,NCT00171795,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,,,,
93307278,NCT03552640,,,OTHER,,PROSPECTIVE,,,,,,,
93307279,NCT00227123,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307280,NCT00510900,,,COHORT,,PROSPECTIVE,,,,,,,
93307281,NCT04011293,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307282,NCT00754598,NON_RANDOMIZED,,,DIAGNOSTIC,,,,,,,,
93307283,NCT05364034,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307284,NCT05480462,RANDOMIZED,PARALLEL,,PREVENTION,,SINGLE,,,True,False,False,False
93307285,NCT03137706,,,CASE_ONLY,,PROSPECTIVE,,,,,,,
93307286,NCT01447199,,,FAMILY_BASED,,PROSPECTIVE,,,,,,,
93307287,NCT06210061,RANDOMIZED,PARALLEL,,OTHER,,NONE,,,,,,
93307288,NCT00394420,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307289,NCT00672282,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,True,True,False
93307290,NCT03000348,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307291,NCT00134771,RANDOMIZED,PARALLEL,,ECT,,DOUBLE,,,,,,
93307292,NCT01390441,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307293,NCT04486599,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307294,NCT01380977,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,False,False,True,True
93307295,NCT06029608,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93307296,NCT04901845,,,COHORT,,CROSS_SECTIONAL,,,,,,,
93307297,NCT01514955,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,,,,,,,
93307298,NCT04581252,,,COHORT,,PROSPECTIVE,,,,,,,
93307299,NCT05592977,NA,SINGLE_GROUP,,TREATMENT,,NONE,"Due to the nature of the study, the operator and patients can't be blinded. Blinding of the outcome assessors can be done by sealing the name of the patient in the pre and post treatment radiographs used for analysis",,,,,
93307300,NCT00752245,RANDOMIZED,CROSSOVER,,TREATMENT,,NONE,,,,,,
93307301,NCT00004072,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307302,NCT02111408,,,COHORT,,PROSPECTIVE,,,,,,,
93307303,NCT03980197,RANDOMIZED,CROSSOVER,,PREVENTION,,NONE,,,,,,
93307304,NCT02484989,,,,,PROSPECTIVE,,,,,,,
93307305,NCT04458818,NA,SINGLE_GROUP,,TREATMENT,,NONE,"No Masking. Patients in one arm are provided with prolene mesh implant, and is known by the patient, health care provider and the assessor.","The single group will be implanted with Prolene mesh made into Swiss rolls and placed in Laryngeal Window between the cartilage and inner periosteum,",,,,
93307306,NCT00085566,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307307,NCT00296010,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307308,NCT03672942,RANDOMIZED,PARALLEL,,BASIC_SCIENCE,,SINGLE,couples are not informed as to what condition they are assigned,random assignment to two active conditions vs. a placebo control,True,False,False,False
93307309,NCT01367444,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307310,NCT03174782,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,"To randomize patients, consent forms will be pre-labeled with a random subject identification number. This number will serve as the participants' study ID for all data collection in order to maintain privacy and confidentiality. Additionally, this number will be linked to a sealed envelope containing the random treatment group. The study coordinator will create the labels and assemble the envelopes to ensure all investigators remain blind to the treatment groups. This sealed envelope will be given to the anesthesia providers for the amputation. The anesthesia team will then administer the assigned treatment prior to induction of general anesthesia. Half of the patients will be randomized into the treatment group, and half of the patients will be randomized into the control group.",,True,True,True,False
93414933,NCT03102541,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93307311,NCT06140342,,,OTHER,,PROSPECTIVE,,,,,,,
93307312,NCT05379153,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,DOUBLE,The provider will not be blinded to the arm the patient is on. PRO measures will be administered by research personnel who are blinded to the arm the patient is enrolled on at each study time point.,,True,False,False,True
93199283,NCT02080182,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307313,NCT00184379,NON_RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93414934,NCT01401179,RANDOMIZED,FACTORIAL,,TREATMENT,,SINGLE,,,False,False,False,True
93307314,NCT04805073,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,Stratified randomization design,,True,True,True,False
93307315,NCT03178045,,,COHORT,,PROSPECTIVE,,,,,,,
93307316,NCT05196451,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,SINGLE,,,False,False,False,True
93307317,NCT03995342,RANDOMIZED,PARALLEL,,OTHER,,DOUBLE,,,True,False,True,False
93307318,NCT01078922,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307319,NCT02706847,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93307320,NCT02595320,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93307321,NCT01854606,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307322,NCT00085397,RANDOMIZED,,,TREATMENT,,,,,,,,
93307323,NCT00746304,,,COHORT,,RETROSPECTIVE,,,,,,,
93307324,NCT01980004,RANDOMIZED,PARALLEL,,PREVENTION,,NONE,,,,,,
93307325,NCT01587482,,,COHORT,,PROSPECTIVE,,,,,,,
93307326,NCT00003477,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93307327,NCT03375736,NA,SINGLE_GROUP,,TREATMENT,,NONE,,"The study participants would receive 4 weeks of whole body vibration therapy, 4 sessions per week for 18 minutes per session.",,,,
93414935,NCT00205010,,,,,PROSPECTIVE,,,,,,,
93414936,NCT02623569,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93414937,NCT01265719,,,COHORT,,PROSPECTIVE,,,,,,,
93414938,NCT04411316,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93414939,NCT03604016,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93414940,NCT06388538,,,COHORT,,PROSPECTIVE,,,,,,,
93414941,NCT06369402,,,CASE_CONTROL,,CROSS_SECTIONAL,,,,,,,
93414942,NCT03981523,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,Three of 6 parallel groups will receive one of three different oral benznidazole (BZN) dosing regimens and the other three will receive one of the three different nifurtimox (NFX) regimens.,,,,
93414943,NCT03846895,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93414944,NCT02831595,,,COHORT,,PROSPECTIVE,,,,,,,
93199284,NCT02542839,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,True,False,True
93091152,NCT03636659,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93091153,NCT01772446,RANDOMIZED,PARALLEL,,,,NONE,,,,,,
93091154,NCT00197314,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,,,,
93091155,NCT05844891,RANDOMIZED,PARALLEL,,HEALTH_SERVICES_RESEARCH,,SINGLE,"Research assistants conducting telephone follow-up assessments 3, 6, 9, and 12 months after enrollment will be blinded to group allocation.",,False,False,False,True
93091156,NCT03006380,RANDOMIZED,PARALLEL,,PREVENTION,,DOUBLE,,,True,False,False,True
93091157,NCT03789916,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93091158,NCT05394519,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93091159,NCT06094608,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,"The outcomes assessor will be blinded to study arm. The PI, study coordinator and research assistants will remain unblinded to perform safety assessments and provide feedback on intervention adherence. Blinded staff will wear buttons as an upfront visual cue to remind participants not to talk about their treatment.",,False,False,False,True
93091160,NCT05686785,,,COHORT,,CROSS_SECTIONAL,,,,,,,
93091161,NCT05877755,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93091162,NCT05084313,RANDOMIZED,PARALLEL,,PREVENTION,,NONE,,"There are three groups in the study, two of which includes interventions, and one group constitutes the control group. The participants will be randomized into groups with a sealed envelope. There is only one session of the allocated intervention for the particular participant, since the study aims to measure acute effects of cranial and visceral manual therapy on autonomic nervous system parameters.",,,,
93091163,NCT04149249,RANDOMIZED,PARALLEL,,OTHER,,SINGLE,,,True,False,False,False
93091164,NCT00363532,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,SINGLE,,,,,,
93091165,NCT05228665,NA,SINGLE_GROUP,,TREATMENT,,NONE,,Prospective cohort,,,,
93091166,NCT00463255,RANDOMIZED,PARALLEL,,PREVENTION,,NONE,,,,,,
93091167,NCT02018341,RANDOMIZED,PARALLEL,,BASIC_SCIENCE,,DOUBLE,,,True,False,True,False
93091168,NCT05133024,RANDOMIZED,PARALLEL,,PREVENTION,,QUADRUPLE,"Beetroot juice bottles are delivered at the central investigational site in labeled boxes indicating whether they are active or control juice. The bottles themselves are identical in appearance and only distinguishable by the manufacturer through the production code. Blinding of the juices is done by an independent party who is responsible for removing the labels, indicating whether the juices are active or nitrate-depleted juice, from the boxes, and assigning an intervention letter code to active or control beetroot juice as 'A' or 'B', without revealing which is which. Sets of 7 bottles, corresponding with the dosage regimen, from A or B according to the randomization list made by an independent statistician, are then labelled with an unique randomization letter code comprising of 2 randomly generated letters, followed by an underscore and a numerical index from 1 to 7 (e.g. AX_1,..., AX_7) to assure allocation concealment.",Multicentric double-blind randomized controlled prospective phase II study,True,True,True,True
93091169,NCT04098523,NA,SINGLE_GROUP,,SCREENING,,NONE,,,,,,
93091170,NCT05801991,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93091171,NCT01998750,,,COHORT,,PROSPECTIVE,,,,,,,
93091172,NCT03985241,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93091173,NCT06308822,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091174,NCT00421798,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93091175,NCT01757314,,,COHORT,,PROSPECTIVE,,,,,,,
93091176,NCT04057066,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091177,NCT04354792,,,COHORT,,CROSS_SECTIONAL,,,,,,,
93091178,NCT04956536,,,CASE_ONLY,,RETROSPECTIVE,,,,,,,
93091179,NCT04796597,NA,SEQUENTIAL,,DEVICE_FEASIBILITY,,NONE,,,,,,
93091180,NCT01057953,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93091181,NCT00547274,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93091182,NCT03016312,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93091183,NCT03088891,RANDOMIZED,PARALLEL,,BASIC_SCIENCE,,TRIPLE,,,True,False,True,True
93091184,NCT00467077,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091185,NCT00900510,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93091186,NCT01840007,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091187,NCT01089686,RANDOMIZED,PARALLEL,,DIAGNOSTIC,,TRIPLE,,,True,True,False,True
93091188,NCT02539004,,,CASE_ONLY,,PROSPECTIVE,,,,,,,
93091189,NCT05010811,,,CASE_ONLY,,RETROSPECTIVE,,,,,,,
93091190,NCT02454738,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93091191,NCT02356445,,,COHORT,,RETROSPECTIVE,,,,,,,
93091192,NCT05982990,RANDOMIZED,CROSSOVER,,OTHER,,SINGLE,laboratory-blinded,"One-center crossover, randomized, 2-period, 2-sequence (RT and TR), single dose, laboratory-blinded study",False,False,False,True
93091193,NCT01239069,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,,,False,False,True,False
93091194,NCT00190437,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93091195,NCT00963963,RANDOMIZED,PARALLEL,,PREVENTION,,NONE,,,,,,
93091196,NCT02916966,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
93091197,NCT04759235,,,COHORT,,PROSPECTIVE,,,,,,,
93091198,NCT03210935,,,COHORT,,PROSPECTIVE,,,,,,,
93091199,NCT04416568,NON_RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93091200,NCT00472225,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091201,NCT06392724,NA,SINGLE_GROUP,,TREATMENT,,NONE,,"Single-arm unblinded, single-center study",,,,
93091202,NCT01316523,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091203,NCT00138749,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,,,,
93091204,NCT01178463,,,COHORT,,RETROSPECTIVE,,,,,,,
93091205,NCT01451723,NON_RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93091206,NCT00922623,NON_RANDOMIZED,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091207,NCT04814966,,,OTHER,,OTHER,,,,,,,
93091208,NCT04897217,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93091209,NCT02773186,,,,,PROSPECTIVE,,,,,,,
93091210,NCT00665665,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93091211,NCT01366872,,,CASE_ONLY,,RETROSPECTIVE,,,,,,,
93091212,NCT02932137,RANDOMIZED,CROSSOVER,,PREVENTION,,NONE,,,,,,
93091213,NCT00911248,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091214,NCT02372578,RANDOMIZED,PARALLEL,,TREATMENT,,TRIPLE,,,True,False,True,True
93091215,NCT03967145,,,CASE_ONLY,,PROSPECTIVE,,,,,,,
93091216,NCT06275334,,,CASE_ONLY,,RETROSPECTIVE,,,,,,,
93091217,NCT02732457,,,COHORT,,PROSPECTIVE,,,,,,,
93091218,NCT06071949,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93091219,NCT03300401,NA,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93318796,NCT04865133,,,CASE_ONLY,,OTHER,,,,,,,
93087026,NCT03008694,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091220,NCT02208102,,,COHORT,,PROSPECTIVE,,,,,,,
93091221,NCT04233008,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,Randomized controlled trial,,,,
93091222,NCT01331603,,,CASE_ONLY,,PROSPECTIVE,,,,,,,
93091223,NCT03546985,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,,NONE,,,,,,
93091224,NCT00182130,RANDOMIZED,SINGLE_GROUP,,ECT,,NONE,,,,,,
93091225,NCT01062750,NA,SINGLE_GROUP,,TREATMENT,,NONE,,,,,,
93091226,NCT02793336,,,COHORT,,PROSPECTIVE,,,,,,,
93091227,NCT03777358,,,COHORT,,PROSPECTIVE,,,,,,,
93091228,NCT04118465,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93091229,NCT02123134,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,True,False
93091230,NCT04415203,RANDOMIZED,PARALLEL,,TREATMENT,,DOUBLE,,,True,False,False,True
93091231,NCT00768989,RANDOMIZED,PARALLEL,,TREATMENT,,NONE,,,,,,
93091232,NCT03729648,RANDOMIZED,PARALLEL,,TREATMENT,,SINGLE,"Due to the nature of this trial, neither the staff, participants nor care provider can be masked to allocation. The data analyst will be blinded after study completion by having the intervention group information coded.",Parallel Randomized Controlled Trial,False,False,True,False
93091233,NCT06275555,RANDOMIZED,PARALLEL,,OTHER,,NONE,,,,,,
93091234,NCT02867267,RANDOMIZED,PARALLEL,,TREATMENT,,QUADRUPLE,,,True,True,True,True
93091235,NCT01635231,RANDOMIZED,CROSSOVER,,DIAGNOSTIC,,TRIPLE,,,True,True,True,False
93091236,NCT03921658,,,COHORT,,PROSPECTIVE,,,,,,,
93091237,NCT00726947,NON_RANDOMIZED,SINGLE_GROUP,,DIAGNOSTIC,,NONE,,,,,,
93091238,NCT03431441,NA,SINGLE_GROUP,,TREATMENT,,NONE,"Due to visible print differences, subjects and investigators will be aware of the patterns/variants of the investigational product. However, subjects will be masked to the lens brand to prevent bias during the lens discussions.",,,,,
93091239,NCT01866371,,,CASE_CONTROL,,PROSPECTIVE,,,,,,,
