nct_id,phase,condition,intervention_type,sponsor_type,enrollment,status,outcome_label,final_outcome
NCT00002250,PHASE1,Immune Thrombocytopenic Purpura ( ITP ),DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002251,NA,Cytomegalovirus Infections,DRUG,INDUSTRY,20.0,COMPLETED,,Failed
NCT00002252,NA,Diarrhea,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002253,NA,Diarrhea,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002254,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002255,PHASE1,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002256,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002257,NA,Cytomegalovirus Retinitis,DRUG,INDUSTRY,150.0,COMPLETED,,Failed
NCT00002258,PHASE1,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002259,PHASE2,"Sarcoma, Kaposi",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002260,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002261,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,,COMPLETED,,Failed
NCT00002262,PHASE1,"Sarcoma, Kaposi",DRUG,OTHER,,COMPLETED,,Failed
NCT00002263,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002264,NA,Cryptosporidiosis,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002265,PHASE2,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002266,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002267,NA,Mycobacterium Avium-intracellulare Infection,DRUG,INDUSTRY,750.0,COMPLETED,,Failed
NCT00002268,PHASE1,Cytomegalovirus Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002269,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002270,NA,HIV Infections,DRUG,OTHER,,COMPLETED,,Failed
NCT00002271,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002272,NA,Herpes Simplex,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002273,NA,Colitis,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002274,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002275,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002276,NA,HIV Infections,DRUG,OTHER,,COMPLETED,,Failed
NCT00002277,PHASE3,Mycoses,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002278,NA,Cryptosporidiosis,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002279,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002280,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002281,NA,HIV Infections,DRUG,INDUSTRY,24.0,COMPLETED,,Failed
NCT00002282,NA,"Candidiasis, Oral",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002283,NA,"Pneumonia, Pneumocystis Carinii",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002284,NA,"Lymphoma, Non-Hodgkin",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002285,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002286,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002287,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002288,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002289,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002290,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002291,NA,"Pneumonia, Pneumocystis Carinii",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002292,NA,"Pneumonia, Pneumocystis Carinii",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002293,NA,"Candidiasis, Oral",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002294,NA,"Meningitis, Cryptococcal",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002295,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002296,NA,Lymphatic Disease,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002297,NA,Lymphatic Disease,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002298,NA,HIV Infections,DRUG,INDUSTRY,,TERMINATED,,Failed
NCT00002299,NA,Cytomegalovirus Retinitis,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002300,PHASE2,Anorexia,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002301,NA,Cytomegalovirus Retinitis,DRUG,INDUSTRY,,UNKNOWN,,Failed
NCT00002302,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002303,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002304,NA,"Candidiasis, Esophageal",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002305,NA,"Meningitis, Cryptococcal",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002306,NA,"Meningitis, Cryptococcal",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002307,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002308,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002309,NA,Mycobacterium Avium-Intracellulare Infection,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002310,NA,Herpes Simplex,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002311,PHASE1,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002312,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002313,PHASE1,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002314,PHASE2,"Sarcoma, Kaposi",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002315,PHASE3,HIV Infections,DRUG,INDUSTRY,400.0,COMPLETED,,Failed
NCT00002316,PHASE1,"Meningitis, Cryptococcal",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002317,NA,"Pneumonia, Pneumocystis Carinii",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002318,PHASE3,"Sarcoma, Kaposi",DRUG,INDUSTRY,225.0,UNKNOWN,,Failed
NCT00002319,PHASE3,"Sarcoma, Kaposi",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002320,PHASE3,HIV Infections,DRUG,INDUSTRY,320.0,COMPLETED,,Failed
NCT00002321,PHASE1,Cytomegalovirus Retinitis,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002322,PHASE2,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002323,NA,HIV Infections,DRUG,INDUSTRY,60.0,COMPLETED,,Failed
NCT00002324,PHASE2,HIV Infections,DRUG,INDUSTRY,250.0,COMPLETED,,Failed
NCT00002325,NA,Mycoses,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002326,PHASE1,HIV Infections,DRUG,INDUSTRY,20.0,COMPLETED,,Failed
NCT00002327,PHASE1,HIV Infections,DRUG,INDUSTRY,40.0,COMPLETED,,Failed
NCT00002328,NA,Cryptosporidiosis,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002329,PHASE1,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002330,NA,Cytomegalovirus Retinitis,DRUG,OTHER,280.0,COMPLETED,,Failed
NCT00002331,NA,Mycobacterium Avium-intracellular Infection,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002332,PHASE2,HIV Infections,DRUG,INDUSTRY,60.0,COMPLETED,,Failed
NCT00002333,PHASE2,HIV Infections,DRUG,INDUSTRY,900.0,COMPLETED,,Failed
NCT00002334,PHASE3,HIV Infections,DRUG,INDUSTRY,3000.0,COMPLETED,,Failed
NCT00002335,PHASE1,HIV Infections,DRUG,INDUSTRY,18.0,COMPLETED,,Failed
NCT00002336,NA,Mycobacterium Avium-intracellular Infection,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002337,PHASE1,HIV Infections,DRUG,INDUSTRY,56.0,COMPLETED,,Failed
NCT00002338,PHASE1,HIV Infections,DRUG,INDUSTRY,40.0,COMPLETED,,Failed
NCT00002339,PHASE3,"Candidiasis, Esophageal",DRUG,INDUSTRY,100.0,COMPLETED,,Failed
NCT00002340,PHASE3,"Pneumonia, Pneumocystis Carinii",DRUG,INDUSTRY,615.0,COMPLETED,,Failed
NCT00002341,NA,"Candidiasis, Oral",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002342,PHASE1,"Sarcoma, Kaposi",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002343,PHASE4,Mycobacterium Avium-Intracellulare Infection,DRUG,INDUSTRY,200.0,COMPLETED,,Failed
NCT00002344,PHASE1,Bacterial Infections,DRUG,INDUSTRY,12.0,COMPLETED,,Failed
NCT00002345,PHASE4,Anorexia,DRUG,INDUSTRY,40.0,COMPLETED,,Failed
NCT00002346,PHASE1,HIV Infections,DRUG,INDUSTRY,36.0,COMPLETED,,Failed
NCT00002347,PHASE2,HIV Infections,DRUG,INDUSTRY,225.0,COMPLETED,,Failed
NCT00002348,PHASE2,"Lymphoma, Non-Hodgkin",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002349,NA,HIV Infections,DRUG,INDUSTRY,40.0,COMPLETED,,Failed
NCT00002350,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,16.0,COMPLETED,,Failed
NCT00002351,PHASE1,HIV Infections,DRUG,INDUSTRY,12.0,COMPLETED,,Failed
NCT00002352,NA,Cytomegalovirus Infections,DRUG,INDUSTRY,30.0,COMPLETED,,Failed
NCT00002353,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,,COMPLETED,,Failed
NCT00002354,NA,HIV Infections,DRUG,INDUSTRY,540.0,COMPLETED,,Failed
NCT00002355,NA,Cytomegalovirus Retinitis,DRUG,INDUSTRY,60.0,COMPLETED,,Failed
NCT00002356,PHASE2,Cytomegalovirus Retinitis,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002357,PHASE2,HIV Infections,DRUG,INDUSTRY,144.0,COMPLETED,,Failed
NCT00002358,PHASE3,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002359,PHASE3,HIV Infections,BIOLOGICAL,INDUSTRY,3000.0,COMPLETED,,Failed
NCT00002360,PHASE1,HIV Infections,DRUG,INDUSTRY,30.0,COMPLETED,,Failed
NCT00002361,PHASE2,HIV Infections,DRUG,INDUSTRY,30.0,COMPLETED,,Failed
NCT00002362,PHASE3,HIV Infections,DRUG,INDUSTRY,,SUSPENDED,,Failed
NCT00002363,PHASE1,HIV Infections,DRUG,INDUSTRY,20.0,COMPLETED,,Failed
NCT00002364,PHASE2,HIV Infections,DRUG,INDUSTRY,40.0,COMPLETED,,Failed
NCT00002365,PHASE1,HIV Infections,DRUG,INDUSTRY,30.0,COMPLETED,,Failed
NCT00002366,PHASE2,"Sarcoma, Kaposi",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002367,PHASE3,HIV Infections,DRUG,INDUSTRY,40.0,COMPLETED,,Failed
NCT00002368,PHASE3,HIV Infections,DRUG,INDUSTRY,2000.0,COMPLETED,,Failed
NCT00002369,NA,HIV Infections,DRUG,INDUSTRY,200.0,COMPLETED,,Failed
NCT00002370,NA,HIV Infections,DRUG,INDUSTRY,36.0,COMPLETED,,Failed
NCT00002371,PHASE3,HIV Infections,DRUG,INDUSTRY,80.0,COMPLETED,,Failed
NCT00002372,PHASE1,HIV Infections,DRUG,INDUSTRY,48.0,COMPLETED,,Failed
NCT00002373,PHASE1,Cytomegalovirus Infections,DRUG,INDUSTRY,56.0,COMPLETED,,Failed
NCT00002374,PHASE3,HIV Infections,DRUG,INDUSTRY,120.0,COMPLETED,,Failed
NCT00002375,NA,HIV Infections,DRUG,INDUSTRY,24.0,COMPLETED,,Failed
NCT00002376,PHASE4,HIV Infections,DRUG,INDUSTRY,540.0,COMPLETED,,Failed
NCT00002377,PHASE3,Cytomegalovirus Retinitis,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002378,PHASE3,HIV Infections,DRUG,INDUSTRY,825.0,COMPLETED,,Failed
NCT00002379,PHASE2,HIV Infections,DRUG,INDUSTRY,100.0,COMPLETED,,Failed
NCT00002380,PHASE1,HIV Infections,DRUG,INDUSTRY,28.0,COMPLETED,,Failed
NCT00002381,PHASE1,HIV Infections,DRUG,INDUSTRY,24.0,COMPLETED,,Failed
NCT00002382,PHASE3,HIV Infections,DRUG,INDUSTRY,4000.0,COMPLETED,,Failed
NCT00002383,PHASE1,HIV Infections,DRUG,INDUSTRY,80.0,COMPLETED,,Failed
NCT00002384,NA,Cytomegalovirus Retinitis,DRUG,INDUSTRY,,UNKNOWN,,Failed
NCT00002385,NA,HIV Infections,DRUG,INDUSTRY,60.0,COMPLETED,,Failed
NCT00002386,PHASE4,HIV Infections,DRUG,INDUSTRY,55.0,COMPLETED,,Failed
NCT00002387,NA,HIV Infections,DRUG,INDUSTRY,80.0,COMPLETED,,Failed
NCT00002388,PHASE1,HIV Infections,DRUG,INDUSTRY,48.0,COMPLETED,,Failed
NCT00002389,PHASE3,HIV Infections,DRUG,INDUSTRY,210.0,COMPLETED,,Failed
NCT00002390,PHASE2,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002391,PHASE3,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002392,NA,HIV Infections,DRUG,OTHER,12.0,COMPLETED,,Failed
NCT00002393,PHASE3,HIV Infections,DRUG,INDUSTRY,300.0,COMPLETED,,Failed
NCT00002394,NA,"Candidiasis, Oral",DRUG,INDUSTRY,30.0,COMPLETED,,Failed
NCT00002395,PHASE2,HIV Infections,DRUG,INDUSTRY,54.0,COMPLETED,,Failed
NCT00002396,PHASE1,HIV Infections,DRUG,INDUSTRY,60.0,UNKNOWN,,Failed
NCT00002397,PHASE3,HIV Infections,DRUG,INDUSTRY,24.0,COMPLETED,,Failed
NCT00002398,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002399,PHASE2,"Candidiasis, Oral",DRUG,INDUSTRY,500.0,COMPLETED,,Failed
NCT00002400,NA,HIV Infections,DRUG,INDUSTRY,45.0,COMPLETED,,Failed
NCT00002401,NA,HIV Infections,DRUG,INDUSTRY,160.0,COMPLETED,,Failed
NCT00002402,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,120.0,COMPLETED,,Failed
NCT00002403,PHASE1,HIV Infections,DRUG,INDUSTRY,12.0,COMPLETED,,Failed
NCT00002404,NA,Herpes Simplex,DRUG,INDUSTRY,30.0,COMPLETED,,Failed
NCT00002405,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002406,PHASE3,HIV Infections,DRUG,INDUSTRY,350.0,COMPLETED,,Failed
NCT00002407,NA,HIV Infections,DRUG,OTHER,,COMPLETED,,Failed
NCT00002408,PHASE3,Diarrhea,DRUG,INDUSTRY,300.0,COMPLETED,,Failed
NCT00002409,PHASE3,HIV Infections,DRUG,INDUSTRY,200.0,COMPLETED,,Failed
NCT00002410,PHASE3,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002411,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002412,PHASE2,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002413,PHASE2,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002414,PHASE2,HIV Infections,DRUG,INDUSTRY,60.0,UNKNOWN,,Failed
NCT00002415,PHASE2,HIV Infections,DRUG,INDUSTRY,175.0,COMPLETED,,Failed
NCT00002416,PHASE3,HIV Infections,DRUG,INDUSTRY,390.0,COMPLETED,,Failed
NCT00002417,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002418,PHASE2,HIV Infections,DRUG,INDUSTRY,25.0,TERMINATED,,Failed
NCT00002419,PHASE2,HIV Infections,DRUG,INDUSTRY,25.0,COMPLETED,,Failed
NCT00002420,PHASE2,HIV Infections,DRUG,INDUSTRY,25.0,TERMINATED,,Failed
NCT00002422,PHASE1,HIV Infections,DRUG,INDUSTRY,42.0,COMPLETED,,Failed
NCT00002423,PHASE2,HIV Infections,DRUG,INDUSTRY,100.0,COMPLETED,,Failed
NCT00002424,PHASE2,HIV Infections,DRUG,INDUSTRY,186.0,SUSPENDED,,Failed
NCT00002425,PHASE4,HIV Infections,DRUG,INDUSTRY,400.0,COMPLETED,,Failed
NCT00002426,NA,HIV Infections,DRUG,INDUSTRY,390.0,COMPLETED,,Failed
NCT00002427,PHASE1,HIV Infections,DRUG,OTHER,225.0,COMPLETED,,Failed
NCT00002428,PHASE1,HIV Infections,BIOLOGICAL,INDUSTRY,,COMPLETED,,Failed
NCT00002429,PHASE3,HIV Infections,DRUG,INDUSTRY,500.0,COMPLETED,,Failed
NCT00002430,NA,HIV Infections,DRUG,INDUSTRY,220.0,COMPLETED,,Failed
NCT00002431,NA,"Candidiasis, Oral",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002432,NA,Cytomegalovirus Retinitis,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002433,NA,HIV Infections,DRUG,INDUSTRY,12.0,COMPLETED,,Failed
NCT00002434,NA,"Pneumonia, Pneumocystis Carinii",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002435,PHASE2,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002436,PHASE3,HIV Infections,DRUG,INDUSTRY,325.0,COMPLETED,,Failed
NCT00002437,PHASE2,Cytomegalovirus Retinitis,DRUG,INDUSTRY,48.0,COMPLETED,,Failed
NCT00002438,NA,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002439,NA,"Sarcoma, Kaposi",DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002440,PHASE2,HIV Infections,DRUG,INDUSTRY,80.0,COMPLETED,,Failed
NCT00002441,PHASE3,HIV Infections,BIOLOGICAL,INDUSTRY,5000.0,COMPLETED,,Failed
NCT00002442,PHASE2,HIV Infections,DRUG,INDUSTRY,,COMPLETED,,Failed
NCT00002443,NA,HIV Infections,DRUG,INDUSTRY,780.0,COMPLETED,,Failed
NCT00002444,PHASE1,HIV Infections,DRUG,INDUSTRY,28.0,COMPLETED,,Failed
NCT00002445,PHASE3,"Sarcoma, Kaposi",DRUG,INDUSTRY,200.0,COMPLETED,,Failed
NCT00002446,PHASE3,"Candidiasis, Oral",DRUG,INDUSTRY,300.0,COMPLETED,,Failed
NCT00002447,PHASE3,HIV Infections,DRUG,INDUSTRY,146.0,COMPLETED,,Failed
NCT00002448,PHASE3,HIV Infections,DRUG,INDUSTRY,40.0,COMPLETED,,Failed
NCT00002449,PHASE1,HIV Infections,DRUG,INDUSTRY,212.0,UNKNOWN,,Failed
NCT00002450,PHASE3,HIV Infections,DRUG,INDUSTRY,600.0,COMPLETED,,Failed
NCT00002451,PHASE2,HIV Infections,DRUG,INDUSTRY,8.0,UNKNOWN,,Failed
NCT00002452,PHASE2,HIV Infections,DRUG,INDUSTRY,30.0,COMPLETED,,Failed
NCT00002453,NA,HIV Infections,DRUG,INDUSTRY,300.0,COMPLETED,,Failed
NCT00002454,PHASE2,Precancerous Condition,BIOLOGICAL,OTHER,,UNKNOWN,,Failed
NCT00002455,PHASE3,Breast Cancer,BIOLOGICAL,OTHER,,UNKNOWN,,Failed
NCT00002456,PHASE3,Graft Versus Host Disease,DRUG,OTHER,,COMPLETED,,Failed
NCT00002458,PHASE2,Neuroblastoma,BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002459,PHASE3,Endometrial Cancer,RADIATION,NETWORK,224.0,COMPLETED,,Failed
NCT00002460,PHASE3,Breast Cancer,DRUG,OTHER,,UNKNOWN,,Failed
NCT00002461,PHASE2,Lymphoma,BIOLOGICAL,NIH,35.0,COMPLETED,,Failed
NCT00002462,PHASE3,Lymphoma,BIOLOGICAL,NETWORK,615.0,ACTIVE_NOT_RECRUITING,,Failed
NCT00002463,PHASE2,Brain and Central Nervous System Tumors,DRUG,NIH,4.0,COMPLETED,,Failed
NCT00002465,PHASE1/PHASE2,Breast Cancer,DRUG,OTHER,,UNKNOWN,,Failed
NCT00002466,PHASE2,Kidney Cancer,DRUG,OTHER,,COMPLETED,,Failed
NCT00002470,PHASE2,Gastrointestinal Carcinoid Tumor,BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002471,PHASE2,Leukemia,DRUG,OTHER,,COMPLETED,,Failed
NCT00002472,PHASE2,Brain and Central Nervous System Tumors,DRUG,NIH,,COMPLETED,,Failed
NCT00002473,PHASE3,Kidney Cancer,PROCEDURE,NETWORK,,COMPLETED,,Failed
NCT00002474,PHASE2,Ovarian Cancer,DRUG,OTHER,,COMPLETED,,Failed
NCT00002475,PHASE2,Breast Cancer,BIOLOGICAL,OTHER,40.0,COMPLETED,,Failed
NCT00002476,PHASE3,Head and Neck Cancer,BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002477,PHASE3,Ovarian Cancer,DRUG,OTHER_GOV,,UNKNOWN,,Failed
NCT00002478,PHASE2,Cervical Cancer,DRUG,NIH,,TERMINATED,,Failed
NCT00002479,PHASE2,Lymphoma,DRUG,NIH,,COMPLETED,,Failed
NCT00002480,PHASE1,Prostate Cancer,RADIATION,OTHER,,COMPLETED,,Failed
NCT00002481,PHASE2,Lymphoma,DRUG,OTHER,,UNKNOWN,,Failed
NCT00002482,PHASE1/PHASE2,"Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL,OTHER,,UNKNOWN,,Failed
NCT00002484,PHASE1,Lung Cancer,RADIATION,OTHER,104.0,COMPLETED,,Failed
NCT00002485,,Brain and Central Nervous System Tumors,PROCEDURE,NIH,359.0,COMPLETED,,Failed
NCT00002487,PHASE2,Ovarian Cancer,DRUG,OTHER,,UNKNOWN,,Failed
NCT00002488,PHASE2,Lymphoma,DRUG,OTHER,,UNKNOWN,,Failed
NCT00002489,PHASE2,Extragonadal Germ Cell Tumor,BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002490,PHASE3,Bladder Cancer,BIOLOGICAL,OTHER_GOV,,COMPLETED,,Failed
NCT00002492,PHASE2,Sarcoma,DRUG,OTHER,,COMPLETED,,Failed
NCT00002493,PHASE3,Endometrial Cancer,DRUG,NIH,,COMPLETED,,Failed
NCT00002494,PHASE2,Leukemia,DRUG,NIH,134.0,COMPLETED,,Failed
NCT00002495,PHASE3,Lymphoma,DRUG,NIH,348.0,COMPLETED,,Failed
NCT00002496,PHASE3,Head and Neck Cancer,DRUG,NETWORK,,COMPLETED,,Failed
NCT00002498,PHASE2,Breast Cancer,DRUG,OTHER,,UNKNOWN,,Failed
NCT00002499,PHASE2/PHASE3,Leukemia,DRUG,OTHER,,UNKNOWN,,Failed
NCT00002501,PHASE2,Lymphoma,BIOLOGICAL,NIH,29.0,COMPLETED,,Failed
NCT00002502,PHASE2,Leukemia,DRUG,NIH,,COMPLETED,,Failed
NCT00002503,PHASE3,Metastatic Cancer,RADIATION,NETWORK,204.0,COMPLETED,,Failed
NCT00002504,PHASE2,Chronic Myeloproliferative Disorders,BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002505,PHASE2,"Unspecified Adult Solid Tumor, Protocol Specific",BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002506,PHASE2,Cervical Cancer,BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002507,PHASE3,Carcinoma of Unknown Primary,DRUG,OTHER,,COMPLETED,,Failed
NCT00002508,PHASE1/PHASE2,Extragonadal Germ Cell Tumor,DRUG,OTHER,,COMPLETED,,Failed
NCT00002509,PHASE1/PHASE2,Breast Cancer,BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002510,PHASE1/PHASE2,Lymphoma,BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002511,PHASE3,Prostate Cancer,RADIATION,NETWORK,1005.0,COMPLETED,,Failed
NCT00002514,PHASE3,Leukemia,BIOLOGICAL,NIH,1929.0,COMPLETED,,Failed
NCT00002515,PHASE2,Childhood Germ Cell Tumor,BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002516,PHASE3,Sarcoma,BIOLOGICAL,OTHER_GOV,,UNKNOWN,,Failed
NCT00002517,PHASE3,Leukemia,DRUG,NETWORK,,COMPLETED,,Failed
NCT00002519,PHASE1,Lung Cancer,DRUG,NIH,6.0,COMPLETED,,Failed
NCT00002520,NA,Bladder Cancer,DRUG,NIH,434.0,COMPLETED,,Failed
NCT00002521,PHASE2,Lymphoma,DRUG,OTHER,,COMPLETED,,Failed
NCT00002522,PHASE2,Lymphoma,DRUG,OTHER,,COMPLETED,,Failed
NCT00002523,PHASE3,Colorectal Cancer,DRUG,NETWORK,1011.0,COMPLETED,,Failed
NCT00002524,PHASE2,Lymphoma,BIOLOGICAL,NIH,46.0,COMPLETED,,Failed
NCT00002525,PHASE3,Colorectal Cancer,DRUG,NIH,859.0,TERMINATED,5-year Overall Survival Rate in Patients With Dukes' B3/C Disease,Passed
NCT00002526,PHASE2,Ovarian Cancer,BIOLOGICAL,OTHER,20.0,COMPLETED,,Failed
NCT00002527,PHASE3,Colorectal Cancer,DRUG,NIH,635.0,COMPLETED,,Failed
NCT00002528,PHASE3,Breast Cancer,DRUG,NETWORK,473.0,COMPLETED,,Failed
NCT00002529,PHASE3,Breast Cancer,DRUG,NETWORK,452.0,COMPLETED,,Failed
NCT00002531,PHASE2,Leukemia,DRUG,OTHER,,UNKNOWN,,Failed
NCT00002532,PHASE2,Leukemia,BIOLOGICAL,OTHER,,UNKNOWN,,Failed
NCT00002533,PHASE2/PHASE3,Head and Neck Cancer,DRUG,OTHER,,COMPLETED,,Failed
NCT00002534,PHASE3,Leukemia,BIOLOGICAL,NIH,,COMPLETED,,Failed
NCT00002535,PHASE2,Melanoma (Skin),BIOLOGICAL,OTHER,,COMPLETED,,Failed
NCT00002536,PHASE3,Cervical Cancer,DRUG,NETWORK,,COMPLETED,,Failed
NCT00002537,PHASE1,Lung Cancer,DRUG,NIH,20.0,COMPLETED,,Failed
NCT00002538,PHASE2,Fallopian Tube Cancer,PROCEDURE,NIH,,COMPLETED,,Failed
NCT00002539,PHASE3,Sarcoma,BIOLOGICAL,OTHER_GOV,214.0,COMPLETED,,Failed
NCT00002540,NA,Prostate Carcinoma,OTHER,NIH,76685.0,ACTIVE_NOT_RECRUITING,Prostate Cancer Deaths,Passed
NCT00002542,PHASE3,Breast Cancer,DRUG,NETWORK,672.0,COMPLETED,,Failed
NCT00002543,PHASE1,Brain and Central Nervous System Tumors,DRUG,NIH,3.0,COMPLETED,,Failed
NCT00002544,PHASE3,Breast Cancer,DRUG,OTHER,300.0,COMPLETED,,Failed
NCT00002545,PHASE3,Brain and Central Nervous System Tumors,DRUG,NIH,200.0,COMPLETED,,Failed
NCT00002546,PHASE3,Sarcoma,DRUG,NIH,216.0,COMPLETED,,Failed
NCT00002547,PHASE2,Leukemia,DRUG,NIH,280.0,COMPLETED,,Failed
NCT00002548,PHASE3,Multiple Myeloma,BIOLOGICAL,NIH,899.0,COMPLETED,,Failed
NCT00002549,PHASE3,Leukemia,BIOLOGICAL,NETWORK,1520.0,UNKNOWN,,Failed
