id,nct_id,outcome_type,title,description,time_frame,population,anticipated_posting_date,anticipated_posting_month_year,units,units_analyzed,dispersion_type,param_type
100897293,NCT01762761,SECONDARY,Pharmacokinetic Assessments for Eltrombopag for Absorption Rate Constant (Ka),"Ka is defined as the absorption rate constant. PK assessments were made with one group of serial sampling \[Samples collected at pre-dose and 1, 1.5, 2, 2.5, 3, 4, 5, 6, 8, 24 hr post-dose\] and one group of sparse assessment \[Samples collected at pre-dose, between 2 to 4 hr and 5 to 8 hr post-dose\]. Pre-dose samples were collected within 2 hrs prior to dosing, all other samples were collected within 10 min for samples collected between 1 and 6 hrs and within 30 mins for samples collected at 8 and 24 hr. PK analysis was conducted using a population approach with non-linear mixed effects modeling methods. Point estimates of population PK parameter is presented.",From the start of study until 24 hours post-dose of Week 2 Visit of Stage 2,PK Population,,,Per hour (1/hr),,95% Confidence Interval,GEOMETRIC_MEAN
100897294,NCT01762761,SECONDARY,Pharmacokinetic Assessments for Eltrombopag for Absorption Lag Time (ALAG),"Absorption lag time (ALAG) is defined as the time taken for a drug to appear in the systemic circulation following administration. PK assessments were made with one group of serial sampling \[Samples collected at pre-dose and 1, 1.5, 2, 2.5, 3, 4, 5, 6, 8, 24 hr post-dose\] and one group of sparse assessment \[Samples collected at pre-dose, between 2 to 4 hrs and 5 to 8 hrs post-dose\]. Pre-dose samples were collected within 2 hrs prior to dosing, all other samples were collected within 10 min for samples collected between 1 and 6 hr and within 30 min for samples collected at 8 and 24 hr. PK analysis was conducted using a population approach with non-linear mixed effects modeling methods. Point estimates of population PK parameter is presented.",From the start of study until 24 hours post-dose of Week 2 Visit of Stage 2,PK Population,,,Hour,,95% Confidence Interval,GEOMETRIC_MEAN
100897295,NCT01762761,SECONDARY,Post-hoc Estimates of Plasma Eltrombopag Area Under the Concentration-time Curve Over a Dosing Interval (AUC[0-tau]) After 50 mg Once Daily Dose of Eltrombopag,AUC\[0-tau\] is defined as area under the concentration-time curve over a dosing interval (24 hr) of Eltrombopag atsteady-state after 50 mg once daily dose of eltrombopag. PK analysis was conducted using a population approach with non-linear mixed effects modeling methods. Post-hoc estimates of steady-state eltrombopag was determined based on the final PK model. Individual PK parameters were derived from the final PK model by an empirical Bayes estimation. Summary of steady-state AUC(0-tau) of eltrombopag is presented here.,From the start of study until 24 hours post-dose of Week 2 Visit of Stage 2,PK Population,,,Microgram* hour per milliliter(μg.hr/mL),,95% Confidence Interval,GEOMETRIC_MEAN
100897296,NCT01762761,SECONDARY,Post-hoc Estimates of Maximum Observed Concentration (Cmax) for Eltrombopag After 50 mg Once Daily Dose of Eltrombopag,Cmax is defined as maximum observed concentration after 50 mg once daily dose of eltrombopag. PK analysis was conducted using a population approach with non-linear mixed effects modeling methods. Post-hoc estimates of steady-state eltrombopag Cmax was determined based on the final PK model. Individual PK parameters were derived from the final PK model by an empirical Bayes estimation. Summary of steady-state Cmax of eltrombopag .is presented here.,From the start of study until 24 hours post-dose of Week 2 Visit of Stage 2,PK Population,,,Nanogram/ Milliliter (ng/mL),,95% Confidence Interval,GEOMETRIC_MEAN
100897297,NCT01762761,SECONDARY,Percentage of Participants Estimated as Responders to Eltrombopag by the Pharmacokinetic/ Pharmacodynamic Model,"Responders are participants whose SLOP estimates are larger than zero. The Pharmacokinetic/ Pharmacodynamic relationship between eltrombopag concentrations and the platelet response was described by a four-compartment life span model, representing one precursor production compartment, two transit/maturation compartments and one blood platelet compartment.",From the start of study until 24 hours post-dose of Week 2 Visit of Stage 2,"PK/PD Population: all participants with evaluable dosing, actual sampling time, and platelet count data.",,,Percentage of participants,,,NUMBER
101024050,NCT00878553,SECONDARY,Digit Span Test,"Assessment of next day residual cognitive effects via testing immediate recall of numbers. The patient was given a string of digits and asked to repeat them forward, and then a second string of digits to repeat backward. The score was the number of correct responses, where the digits were repeated correctly. One point was given for each correctly repeated string of digits. The maximum subscore in the Digits Forward was 16, and the maximum subscore in the Digits Backward was 14, for a total score of 30.",9 hours post-dose,Intention to Treat population (all randomized patients),,,units on a scale change from baseline,,Standard Error,MEAN
101143191,NCT02447952,OTHER_PRE_SPECIFIED,Number of Participants With Corresponding Activity Level Required to Complete Their Job,"The activity level required by the participant to complete their job was recorded, and was categorized as Not working, Physical activity required, and Sedentary. Only those participants with data available at the specified time points were analyzed (represented by n=X in the category titles).",Up to Week 48,Full Analysis Set,,,Participants,,,NUMBER
100897298,NCT01762761,SECONDARY,Pharmacodynamic Parameter-Linear Proportionality Constant of Drug Effect (SLOP): the Proportional Increase of Platelet Production Rate With Each 1-μg/mL Increase in Eltrombopag Plasma Concentration,"The Pharmacokinetic/ Pharmacodynamic relationship between eltrombopag concentrations and the platelet response was described by a four-compartment life span model, representing one precursor production compartment, two transit/maturation compartments and one blood platelet compartment.",From the start of study until 24 hours post-dose of Week 2 Visit of Stage 2,PK/PD Population,,,Milliliter/microgram,,95% Confidence Interval,GEOMETRIC_MEAN
100897299,NCT01762761,SECONDARY,Pharmacodynamic Parameter- Production Rate of Platelet Precursors (KIN),"The Pharmacokinetic/ Pharmacodynamic relationship between eltrombopag concentrations and the platelet response was described by a four-compartment life span model, representing one precursor production compartment, two transit/maturation compartments and one blood platelet compartment. The estimate of KIN was fixed to 1.43x10\^9/L.hr.",From the start of study until 24 hours post-dose of Week 2 Visit of Stage 2,PK/PD Population,,,1 x 10^9/L.hr,,,NUMBER
100897300,NCT01762761,SECONDARY,Pharmacodynamic Parameter-Maturation Rate of Platelet Precursors (KOUT),"The Pharmacokinetic/ Pharmacodynamic relationship between eltrombopag concentrations and the platelet response was described by a four-compartment life span model, representing one precursor production compartment, two transit/maturation compartments and one blood platelet compartment. The estimate of KOUT was fixed to 0.0253 /hr.",From the start of study until 24 hours post-dose of Week 2 Visit of Stage 2,PK/PD Population,,,1/ hr,,,NUMBER
100897301,NCT03017508,PRIMARY,VAS-anxiety Immediately After the Impromptu Speech Task,"Measure Description: In the Visual Analogue Scale (VAS) participants are presented with a straight horizontal line of 100 mm in length and asked to mark the placement that would best describe the intensity of the anxiety felt at that moment. The left end (0mm) represents ""no anxiety"" and the right end (100mm) represents ""the worst anxiety ever felt"" by the participant.The VAS score is determined by measuring in millimeters from the left hand end of the line to the point that the patient marks, generating a numerical score along a continuum",up to 60 minutes,,,,millimeters (units on a scale),,Standard Deviation,MEAN
100897302,NCT03224468,PRIMARY,"Mean Difference in Number of Cannabis Use Disorder Symptoms Averaged Over 2, 4, and 12 Weeks","The DSM-5 Cannabis Use Disorder (CUD) Checklist will evaluate symptoms of CUD (number of symptoms). The scale ranges from 0-11, with a higher score indicating a greater number of cannabis use disorder symptoms. A trained member of study staff assessed number of CUD symptoms through a structured interview. Each item was scored as ""1"" if the participant endorsed the symptom, and scored as ""0"" if they did not endorse the symptom. Reported results are an average taken over weeks 2, 4, and 12 to be consistent with the regression model estimates.","2 weeks, 4 weeks, and 12 weeks",,,,score on a scale,,Standard Deviation,MEAN
100897303,NCT03224468,PRIMARY,"Mean Difference in Depression Subscale Scores From the HADS Averaged Over 2, 4, and 12 Weeks","For those with depression symptoms, the depression subscale of the Hospital Anxiety and Depression Scale (HADS) will be used to assess symptoms. The subscale ranges from 0-21, with a higher score indicating worse depression outcomes. Reported results are an average taken over weeks 2, 4, and 12 to be consistent with the regression model estimates.","2 weeks, 4 weeks, and 12 weeks",The analysis is restricted to the subset of 83 participants out of 186 total who intended to use medical marijuana to address concerns for anxiety and depression.,,,score on a scale,,Standard Deviation,MEAN
101133836,NCT04134728,SECONDARY,Percentage of Participants With DAS28-CRP <=3.2 (DAS28-CRP LDA) at Week 24 for Placebo Switched Arms That Started Study Intervention From Week 12,"The DAS28-CRP is a measure of RA disease activity calculated using Tender Joint Count 28 (TJC28), Swollen Joint Count 28 (SJC28), C-reactive protein (CRP) (in mg/L), Patient's Global Assessment of Arthritis Disease Activity (PtGA) (visual analogue scale with values from 0=best to 100=worst). DAS28-CRP scores range from 1.0 to 9.4, where lower scores indicates less disease activity. Low disease activity (LDA) is achieved when DAS28-CRP\<=3.2 . A negative change from baseline in DAS28-CRP indicates an improvement.",Week 24,The analysis was performed on all randomized participants who switched from placebo to study intervention at Week 12. Analysis was performed using multiple imputation method to handle missing data.,,,Percentage of participants,,,NUMBER
100897304,NCT03224468,PRIMARY,"Mean Difference in Anxiety Subscale Scores From the HADS Averaged Over 2, 4, and 12 Weeks","For those with anxiety symptoms, the anxiety subscale from the Hospital Anxiety and Depression Scale (HADS) will be used to assess symptoms. This subscale ranges from 0-21, with higher scores indicating worse anxiety outcomes. Reported results are an average taken over weeks 2, 4, and 12 to be consistent with the regression model estimates.","2 Weeks, 4 Weeks, and 12 Weeks",The analysis is restricted to the subset of 83 participants out of 186 total who intended to use medical marijuana to address concerns for anxiety and depression.,,,units on a scale,,Standard Deviation,MEAN
100897305,NCT03224468,PRIMARY,"Mean Difference in Pain Severity Scores on the BPI Average Over 2, 4, and 12 Weeks","For those with pain, the Brief Pain Inventory (BPI) severity subscale was used to assess pain symptoms. This scale ranges from 0-10, with a higher score indicating greater pain severity. Reported results are an average taken over weeks 2, 4, and 12 to be consistent with the regression model estimates.","2 weeks, 4 weeks, and 12 weeks",The analysis is restricted to the subset of 61 participants out of 186 total who intended to use medical marijuana to address concerns for pain.,,,score on a scale,,Standard Deviation,MEAN
100897306,NCT03224468,PRIMARY,"Mean Difference in Sleep Scores on the AIS Averaged Over 2, 4, and 12 Weeks","For those with insomnia, the Athens Insomnia Scale (AIS) will be used to assess insomnia symptoms. This scale ranges from 0-24, with higher scores indicating worse sleep outcomes. Reported results are an average taken over weeks 2, 4, and 12 to be consistent with the regression model estimates.","2 weeks, 4 weeks, and 12 weeks",The analysis is restricted to the subset of 42 participants out of 186 total who intended to use medical marijuana to address concerns for insomnia.,,,score on a scale,,Standard Deviation,MEAN
101143192,NCT02447952,OTHER_PRE_SPECIFIED,Number of Participants With Corresponding Average Activity Level During Time of Wearing the Sensor,"Average activity level during the time of wearing the sensor was reported by the participants, and was categorized as very low level activity, low level activity, moderate level activity and high level activity. Only those participants with data available at the specified time points were analyzed (represented by n=X in the category titles).",Up to Week 48,Full Analysis Set,,,Participants,,,NUMBER
101143193,NCT02447952,OTHER_PRE_SPECIFIED,Number of Participants Whose Sensor Fell Off,The participants reported whether the sensor fell off. Only those participants with data available at the specified time points were analyzed (represented by n=X in the category titles).,Up to Week 48,Full Analysis Set,,,Participants,,,NUMBER
100897307,NCT03224468,SECONDARY,"Mean Difference in Physical Health Scores on the SF-12 Averaged Over 2, 4, and 12 Weeks","The Short Form-12 Health Survey (SF-12) Physical Health Summary Scale was used to assess self-report of physical health. SF-12 scores are based on an Item Response Theory model, in which they are z-scores rescaled to have a mean of 50 (SD=10) in any typical population. There are no range limits to this measure. Higher scores indicate better physical health functioning. Reported results are an average taken over weeks 2, 4, and 12 to be consistent with the regression model estimates.","2 weeks, 4 weeks, and 12 weeks",,,,score on a scale,,Standard Deviation,MEAN
100897308,NCT03224468,SECONDARY,"Mean Difference in Mental Health Scores on the SF-12 Averaged Over 2, 4, and 12 Weeks","The Short Form 12 Health Survey (SF-12) Mental Health Summary Scale was used to assess self-report of mental health. SF-12 scores are based on an Item Response Theory model, in which they are z-scores rescaled to have a mean of 50 (SD=10) in any typical population. This measure has no range limits. Higher scores indicate better mental health functioning. Reported results are an average taken over weeks 2, 4, and 12 to be consistent with the regression model estimates.","2 weeks, 4 weeks, and 12 weeks",,,,score on a scale,,Standard Deviation,MEAN
100897309,NCT03224468,SECONDARY,Mean Difference in Attention Switching Task: Congruency Cost Scores on the CANTAB Averaged Over 4 and 12 Weeks,"Congruency cost was assessed wth the Attention Switching Task (AST), which assesses attention shifting and executive function via a simple task assessing the direction (pointing left or right) and position (on the left or right side) of an arrow, and is part of the Cambridge Neuropsychological Test Automated Battery (CANTAB). The range of this measure is -1900 to 1900 ms. It is calculated as the difference in the median latency for incongruent trials (i.e., trials where the direction of the arrow differs from the side it appears) minus the median latency for congruent trials (i.e., trials where the direction of the arrow matches the side it appears). Positive values indicate faster responses to congruent trials. Reported results are an average taken over weeks 4 and 12 to be consistent with the regression model estimates.",4 weeks and 12 weeks,The analysis is restricted to the subset of 162 participants out of 186 total who completed the AST module of the CANTAB at weeks 4 and 12.,,,milliseconds (ms),,Standard Deviation,MEAN
100779143,NCT02227394,SECONDARY,VAS (Post-6MWT),"VAS = Visual Analogue Scale. A VAS is typically scored by measuring the distance from the bottom of the scale (or left side if oriented horizontally) (in this case after the walk test) to the level indicated by the subject. VAS is typically represented as a vertical or horizontal line, usually 100 millimeters (mm) in length, with descriptors positioned at the extremes of the scale. These extremes go from ""not breathless at all""/no shortness of breath"" at the bottom or at the far left of the line, to ""shortness of breath as bad as can be"" on the top or on the right of the line, depending on the patient's opinion.",Predose and postdose at the dosing visit V2 [ 7 (minimum) to 31 (maximum) days after Screening] or V3 [ 3 (minimum) to 31(maximum) days after visit 2] up to a maximun of Day 83.,"Per-protocol (PP) population: all randomized patients who had correct study drug administration, without any major protocol deviations that could possibly have influenced the assessment of the product effect.",,,percentage of value,,Standard Deviation,MEAN
100779144,NCT01424566,PRIMARY,Change From Randomization Baseline In Mean NRS Average Pain At End Of Treatment,"Participants indicated the level of pain experienced in the last 24 hours on an 11-point NRS, where a score of 0 indicated ""no pain"" and a score of 10 indicated ""pain as bad as you can imagine."" Change in mean NRS average pain was calculated as: End of Treatment NRS average pain score - Randomization (Part B) Baseline NRS average pain score. The participant's Randomization (Part B) baseline pain 0-10 NRS value was the mean over the last 4 consecutive days of the single-blind treatment period (Part A; pre-randomization). A negative value indicates an improvement in average pain score from Randomization (Part B) Baseline.","Randomization Baseline, End of Treatment (Day 36 of the double-blind period)","The ITT Population included all participants who were randomized, received at least 1 dose of study drug, and had at least 1 efficacy endpoint. Participants were analyzed according to the treatment group they were randomized to.",,,units on a scale,,Standard Deviation,MEAN
100897310,NCT03224468,SECONDARY,Mean Difference in Attention Switching Task: Switching Cost Scores on the CANTAB Averaged Over 4 and 12 Weeks,"Switching cost was assessed with the Attention Switching Task (AST), which assesses attention shifting and executive function via a simple task assessing the direction (pointing left or right) and position (on the left or right side) of an arrow, and is part of the Cambridge Neuropsychological Test Automated Battery (CANTAB). The range for this measure is -1900 to 1900 ms. It is calculated as the difference in the median latency for blocks of switching trials (i.e., blocks of trials where the response rule switches between indicating the direction of the arrow or the position of the arrow) minus the median latency for blocks of non-switching trials (i.e., blocks of trials where the response rule is always either to indicate the direction of the arrow or the position of the arrow across all trials). Positive scores indicate faster responses to non-switching trials. Reported results are an average taken over weeks 4 and 12 to be consistent with the regression model estimates.",4 weeks and 12 weeks,The analysis is restricted to the subset of 162 participants out of 186 total who completed the AST module of the CANTAB at weeks 4 and 12.,,,milliseconds (ms),,Standard Deviation,MEAN
100897311,NCT03224468,SECONDARY,Mean Difference in Rapid Visual Information Processing (RVP) Task: Discriminability Scores on the CANTAB Averaged Over 4 and 12 Weeks,"Discriminability was assessed with the Rapid Visual Information Processing (RVP) Task, which assesses sustained attention and is part of the Cambridge Neuropsychological Test Automated Battery (CANTAB). Discriminability scores are based on a transformation of response times and accuracy using the EZ-Diffusion model. There are no limits for this measure. Higher scores indicate that subjects can better discriminator between targets and distractors. Reported results are an average taken over weeks 4 and 12 to be consistent with the regression model estimates.",4 weeks and 12 weeks,The analysis is restricted to the subset of 177 participants out of 186 total who completed the RVP module of the CANTAB at weeks 4 and 12.,,,score on a scale,,Standard Deviation,MEAN
100897312,NCT03224468,SECONDARY,Mean Difference in Paired Associates Learning (PAL) Task: Total Errors Scores on the CANTAB Averaged Over 4 and 12 Weeks,"Total errors were assessed with the Paired Associates Learning (PAL) task, which assesses visual memory and is part of the Cambridge Neuropsychological Test Automated Battery (CANTAB). The range for this measure is 0 to 70 errors. Higher scores indicate that the subject committed more errors (worse performance). Reported results are an average taken over weeks 4 and 12 to be consistent with the regression model estimates.",4 weeks and 12 weeks,The analysis is restricted to the subset of 177 participants out of 186 total who completed the PAL module of the CANTAB at weeks 4 and 12.,,,Number of errors,,Standard Deviation,MEAN
100897313,NCT03224468,SECONDARY,Mean Difference in Spatial Working Memory (SWM) Task: Repetition Errors Scores on the CANTAB Averaged Over 4 and 12 Weeks,"Repetition errors were assessed with the Spatial Working Memory (SWM) task, which assesses spatial working memory and executive function. It is part of the Cambridge Neuropsychological Test Automated Battery (CANTAB). The range for this measure is 0 to 63 errors. Higher scores indicate that more repetition errors were committed (worse performance). Reported results are an average taken over weeks 4 and 12 to be consistent with the regression model estimates.",4 weeks and 12 weeks,The analysis is restricted to the subset of 177 participants out of 186 total who completed the ? module of the CANTAB at weeks 4 and 12.,,,Number of errors,,Standard Deviation,MEAN
100897314,NCT03224468,SECONDARY,Mean Difference in Verbal Recognition Memory (VRM) Task: d' Scores on the CANTAB Averaged Over 4 and 12 Weeks,"Discriminability was assessed with the Verbal Recognition Memory task (VRM), which assess verbal memory. It is part of the Cambridge Neuropsychological Test Automated Battery (CANTAB). Discriminability scores are based on a transformation of hit and false alarm rates using a signal detection theory (SDT) model.There are no limits for this measure. Higher scores indicate that a subject was able to better discriminate between previously studied and novel words. Reported results are an average taken over weeks 4 and 12 to be consistent with the regression model estimates.",4 weeks and 12 weeks,The analysis is restricted to the subset of 171 participants out of 186 total who completed the VRM module of the CANTAB at weeks 4 and 12.,,,score on a scale,,Standard Deviation,MEAN
100897315,NCT03224468,SECONDARY,Mean Difference in Verbal Recognition Memory (VRM) Task: Free Recall Memory Scores on the CANTAB Averaged Over 4 and 12 Weeks,"Free Recall Memory was assessed with the Verbal Recognition Memory task (VRM), which assesses verbal memory. It is part of the Cambridge Neuropsychological Test Automated Battery (CANTAB). The range for this measure is 0 to 18 words recalled. Higher scores indicate that subjects were able to correctly recall more previously studied words. Reported results are an average taken over weeks 4 and 12 to be consistent with the regression model estimates.",4 weeks and 12 weeks,The analysis is restricted to the subset of 175 participants out of 186 total who completed the free recall VRM module of the CANTAB at weeks 4 and 12.,,,Total recalled,,Standard Deviation,MEAN
100897316,NCT02639884,PRIMARY,Number of Subjects in Which Electroencephalogram (EEG) Signals is Collected,Subjects enrolled into the study will have the SedLine sensor placed on the subject to collect EEG signals.,One visit,,,,Participants,,,COUNT_OF_PARTICIPANTS
100897317,NCT02639884,PRIMARY,Number of Subjects in Which Acoustic Respiratory Rate (RRa) Signals is Collected,All subjects enrolled into the study will receive the RAM sensor in order to records RRa signals.,One visit,,,,Participants,,,COUNT_OF_PARTICIPANTS
100897318,NCT04695691,PRIMARY,Percentage of Participants Achieving Treatment Success,"Primary effectiveness objective was to show more than 50% of subjects enrolled were Responders who achieved Treatment Success, where Treatment Success was defined as a subject with ≥50% fewer inflammatory acne lesions with respect to baseline","12 weeks post final treatment, up to 24 weeks",,,,Participants,,,COUNT_OF_PARTICIPANTS
100897319,NCT00389324,PRIMARY,Geometric Least Square Means of Area Under the Curve (AUC) for Plasma Total Immunoglobulin G (IgG),Geometric least-squares mean of steady-state plasma concentration of total IgG vs. time profile (AUC).,"IV Phase (21 or 28 days) at IV Visit #1, pre- and post-dose: 0 hr., 1 hr., and 1, 2, 3, 5, 7, 14, 21, and 28 days; SC Phase at Week #17, pre- and post-dose: 0 hr., and 1, 3, 4, 5, and 7 days",A total of 32 subjects in the IV phase and 26 subjects in the SC phase had sufficient plasma concentration of total IgG vs. time profiles (AUC) for assessment of steady-state PK parameters.,2009-08-01,2009-08,mg*hr/ml,,Standard Deviation,LEAST_SQUARES_MEAN
100897320,NCT02317575,PRIMARY,Part A: Pharmacokinetics (PK ): Area Under the Concentration Curve From Zero to the Last Recorded Time Post Dose (AUC0-tlast),,"30 minutes predose, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 70, 90, 120, 150, 180, 240, and 300 minutes postdose",All participants who received at least 1 dose of study drug and completed the dose sequence.,,,picomol times hour per liter (pmol*h/L),,Geometric Coefficient of Variation,GEOMETRIC_LEAST_SQUARES_MEAN
100897321,NCT02317575,SECONDARY,Part A: Visual Analog Scale (VAS) Score for Injection Site Pain,The Visual Analog Scale (VAS) assessed injection site pain on a scale of 0-100 millimeter (mm) range (0 = no pain and 100 worst imaginable pain).,"Predose, 1, 20, 60 minutes postdose and at the end of the clamp procedure",All participants who received at least 1 dose of study drug.,,,millimeter (mm),,Standard Deviation,MEAN
100897322,NCT02317575,SECONDARY,Part A: Total Amount of Glucose Infused (Gtot) Over the Duration of Clamp,Gtot is the total glucose infusion over the clamp duration and is used to measure the study drug action over time as measured by the euglycaemic clamp procedure.,"Every 10 minutes for 30 minutes predose, every 2.5 minutes for 30 minutes, then every 5 minutes for 120 minutes, then every 10 minutes for 300 minutes postdose",All participants who received at least 1 dose of study drug and completed the dose sequence.,,,milligram (mg),,Geometric Coefficient of Variation,GEOMETRIC_LEAST_SQUARES_MEAN
100897323,NCT02317575,SECONDARY,Part B: Total Amount of Glucose Infused (Gtot) Over the Duration of the Clamp - Interparticipant Variability,Gtot is the total glucose infusion over the clamp duration and is used to measure the study drug action over time as measured by the euglycaemic clamp procedure.,"Every 10 minutes for 30 minutes predose, every 2.5 minutes for 30 minutes, then every 5 minutes for 120 minutes, then every 10 minutes for 300 minutes, then every 20 minutes from 300 to 480 minutes postdose",Zero participants were analyzed as Part B was not executed.,,,,,,
100897324,NCT02317575,SECONDARY,Part B: Pharmacokinetics (PK): Area Under the Concentration Curve From Zero to the Last Recorded Time Post Dose (AUC0-tlast) - Interparticipant Variability,,"Predose, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 70, 90, 120, 150, 180, 240, and 300 minutes postdose",Zero participants were analyzed as Part B was not executed.,,,,,,
100897325,NCT01994486,PRIMARY,Frequency of Adverse Events Leading to Discontinuation of Both Telaprevir and Sofosbuvir Among Subjects Treated With Telaprevir and Sofosbuvir,Study drug adherence and adverse events were collected on all enrolled subjects and graded using the DAIDS scale. Any adverse events leading to discontinuation of both Telaprevir and Sofosbuvir were collected and are hereby reported.,"12 weeks-January 3, 2014- April 10, 2014","Non-cirrhotic Hepatitis C Genotype 1 infected subjects, naive to previous Hepatitis C treatment",,,participants,,,NUMBER
100897326,NCT01994486,SECONDARY,"Characterize Steady State of Sofosbuvir Active SOF Metabolite, GS-331007",Sparse Pharmokinetic blood samples were collected at Week 2 and Week 10 (prior to daily dose) in patients treated with Telaprevir and Sofosbuvir.,1/17/2014-3/26/2014,,,,ng/mL,,Standard Deviation,GEOMETRIC_MEAN
100897327,NCT01994486,OTHER_PRE_SPECIFIED,Number of Subjects With Sustained Virologic Response at 4 Weeks After Completion of Last Dose,Subjects who complete assigned treatment and have undetectable HCV RNA at 12 weeks after the last planned dose of study treatment,4/22/2014-5/6/2014,,,,participants,,,NUMBER
100897328,NCT01994486,SECONDARY,Proportion of Subjects Who Achieve Undetectable Hepatitis C Virus RNA at 12 Weeks After Completing Study Drug Regimen,"Plasma HCV RNA levels were assessed using the COBAS TaqMan HCV RNA assay test (v2.0; Roche Diagnostics, Indianapolis, IN, USA; LLOQ=25 IU/mL;limit of detection =15 IU/mL)",6/16/2014-7/2/2014,,,,participants,,,NUMBER
101014846,NCT03675308,SECONDARY,Percentage of Participants With Resolution of Dactylitis at Week 24,"Resolution of dactylitis is defined as a Leeds Dactylitis Index (LDI) score = 0.

LDI basic is a score based on finger circumference and tenderness, assessed across all digits. The LDI basic measures the ratio of the circumference of the affected digit to the circumference of the digit on the opposite hand or foot, using a minimum difference of 10% to define a dactylitic digit. The ratio of circumference is multiplied by a tenderness score (1 for tender, 0 for non-tender). If both sides of a digit are considered involved, or the circumference of the contralateral digit cannot be obtained, a standard reference table is used. Scores from each digit are summed to provide the final LDI. A higher LDI indicates worse dactylitis.

To increase sample size due to the smaller number of participants with dactylitis at Baseline, the pre-specified analysis of the resolution of dactylitis included pooled data from KEEPsAKE 1 (this study) and the companion study KEEPsAKE 2 (M15-998; NCT03671148).",Week 24,Full analysis set participants with a Baseline LDI \> 0; Includes pooled data from KEEPsAKE 1 (this study) and the companion study M15-998 (NCT03671148; KEEPsAKE2). Non-responder imputation incorporating multiple imputation to handle missing data due to COVID-19 (NRI-C) was used in the analysis.,,,percentage of participants,,95% Confidence Interval,NUMBER
100897329,NCT01994486,PRIMARY,Safety of Telaprevir and Sofosbuvir When Dosed in Combination for 12 Weeks,"The number of subjects who experienced Grade 3 anemia. Complete blood count was collected at baseline, week 2, week 4, week 8, week 12, week 18, and week 24. Incidence of moderate anemia (Grade 3) observed in the study treatment period.",1/3/2014-4/10/2014,,,,participants,,,NUMBER
100897330,NCT01994486,SECONDARY,Proportion of Subjects With Viral Relapse,"Defined as Subjects who have undetectable HCV RNA at end of treatment, and confirmed detectable HCV RNA between end of treatment and SVR12 planned assessment time point.",1/3/2014-9/8/2014,,,,participants,,,NUMBER
100897331,NCT00795600,PRIMARY,Percentage Change in Trunk Fat Mass (Defined as Peripheral Fat Ratio),"Percentage of change of trunk fat mass as the dependent variable, baseline value (trunk fat mass at week 0) as covariate, treatment with metformin (yes/no) and gender (male/female) as effect and the treatment received (insulin detemir/insulin NPH) as the main factor.","week 0, week 26",Intention-To-Treat (ITT) analysis set using LOCF (Last Observation Carried Forward) is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the change in trunk fat mass at week 26.,,,percent change,,Standard Error,LEAST_SQUARES_MEAN
100897332,NCT00795600,PRIMARY,Percentage Change in Trunk Fat Mass (Defined as Peripheral Fat Ratio),"Percentage of change of trunk fat mass as the dependent variable, baseline value (trunk fat mass at week 0) as covariate, treatment with metformin (yes/no) and gender (male/female) as effect and the treatment received (insulin detemir/insulin NPH) as the main factor.","week 0, week 26","Per protocol (PP) population: All randomised and exposed subjects who completed the 26-week treatment without significantly deviating from the inclusion/exclusion criteria and the withdrawal criteria or other aspects of the protocol considered to potentially affect the efficacy results. Compared to the ITT population, two subjects were excluded.",,,percent change,,Standard Error,LEAST_SQUARES_MEAN
100897333,NCT00795600,PRIMARY,Absolute Change in Trunk Fat Mass,"Absolute change in trunk fat mass as response variable with treatment, sex and Metformin use as fixed factors, and trunk fat mass at week 0 as covariate.","week 0, week 26",ITT analysis set using LOCF is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the change in trunk fat mass at week 26.,,,grams (g),,Standard Error,LEAST_SQUARES_MEAN
100897334,NCT00795600,PRIMARY,Absolute Change in Trunk Fat Mass,"Absolute change in trunk fat mass as response variable with treatment, sex and Metformin use as fixed factors, and trunk fat mass at week 0 as covariate.","week 0, week 26","Per protocol (PP) population: All randomised and exposed subjects who completed the 26-week treatment without significantly deviating from the inclusion/exclusion criteria and the withdrawal criteria or other aspects of the protocol considered to potentially affect the efficacy results. Compared to the ITT population, two subjects were excluded.",,,grams (g),,Standard Error,LEAST_SQUARES_MEAN
100897335,NCT00795600,SECONDARY,Absolute Change in Whole Body Fat Mass,"Absolute change in whole body fat mass as response variable with treatment, sex and Metformin use as fixed factors, and trunk fat mass at week 0 as covariate.","Week 0, week 26",Intention-To-Treat (ITT) analysis set is all randomised subjects exposed to at least one dose of the trial product. Two subjects in the Insulin Detemir group and three subjects in the Insulin NPH group did not present a value in the change in whole body fat mass at week 26.,,,grams (g),,Standard Error,LEAST_SQUARES_MEAN
