nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed,patient_registry
NCT01061307,,2010-02-02,,,2016-01-05,2010-02-02,2010-02-03,ESTIMATED,,,,,,,2016-01-05,2016-01-06,ESTIMATED,2009-09,,2009-09-30,2012-04,2012-04-30,2010-06,ACTUAL,2010-06-30,2010-03,ACTUAL,2010-03-31,,INTERVENTIONAL,,,"An Efficacy Trial of Iron, Zinc and Vitamin A Fortified Rice in Children in Satun, Thailand","An Efficacy Trial of Fe, Zn and Vitamin A Fortified Rice in Children in Satun, Thailand",COMPLETED,,EARLY_PHASE1,203.0,ACTUAL,Swiss Federal Institute of Technology,,1.0,,,False,,,,False,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT01228565,,2010-10-25,,,2015-03-23,2010-10-25,2010-10-26,ESTIMATED,,,,,,,2015-03-23,2015-03-24,ESTIMATED,2010-08,,2010-08-31,2015-03,2015-03-31,2014-05,ACTUAL,2014-05-31,2014-05,ACTUAL,2014-05-31,,INTERVENTIONAL,GORTEC 2009-01,,Trial of OTD70DERM® in Radio-dermatitis Induced by Radiotherapy-Erbitux®,Placebo Controlled Randomized Trial of OTD70DERM® in Radio-dermatitis Induced by Radiotherapy-Erbitux®,COMPLETED,,PHASE3,76.0,ACTUAL,Groupe Oncologie Radiotherapie Tete et Cou,,2.0,,,False,,,,False,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT02953756,,2016-10-27,,,2020-08-13,2016-11-01,2016-11-03,ESTIMATED,,,,,,,2020-08-13,2020-08-14,ACTUAL,2015-10,,2015-10-31,2020-02,2020-02-29,2019-10,ACTUAL,2019-10-31,2019-10,ACTUAL,2019-10-31,,OBSERVATIONAL,,,Cognitive Outcome After Gamma Knife Radiosurgery in Patients With Brain Metastases (CAR-Study A),Cognitive Outcome After Gamma Knife Radiosurgery in Patients With 1-10 Brain Metastases,COMPLETED,,,92.0,ACTUAL,Elisabeth-TweeSteden Ziekenhuis,,,1.0,,False,,,,False,,,,,,,,,,,UNDECIDED,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,False
NCT05176496,,2021-12-15,,,2023-07-26,2021-12-15,2022-01-04,ACTUAL,,,,,,,2023-07-26,2023-07-27,ACTUAL,2021-11-30,ACTUAL,2021-11-30,2023-07,2023-07-31,2023-07-15,ACTUAL,2023-07-15,2023-07-15,ACTUAL,2023-07-15,,OBSERVATIONAL,Champion-HMB,,A Study Called Champion-HMB to Learn More About Females With Heavy Menstrual Bleeding and Available Treatments to Enable Earlier Diagnosis and to Predict Courses of Treatment,Characterization and Treatment Pathways of Heavy Menstrual Bleeding (HMB),COMPLETED,,,99999.0,ACTUAL,Bayer,,,2.0,,False,,,,False,False,False,,,,,,,,,NO,"Availability of this study's data will later be determined according to Bayer's commitment to the EFPIA/PhRMA ""Principles for responsible clinical trial data sharing"". This pertains to scope, timepoint and process of data access. As such, Bayer commits to sharing upon request from qualified researchers patient-level clinical trial data, study-level clinical trial data, and protocols from clinical trials in patients for medicines and indications approved in the US and EU as necessary for conducting legitimate research. This applies to data on new medicines and indications that have been approved by the EU and US regulatory agencies on or after January 01, 2014. Interested researchers can use www.clinicalstudydatarequest.com to request access to anonymized patient-level data and supporting documents from clinical studies to conduct research. Information on the Bayer criteria for listing studies and other relevant information is provided in the Study sponsors section of the portal.",2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,INDUSTRY,,,,,,False
NCT01271894,,2011-01-05,,,2013-05-10,2011-01-05,2011-01-07,ESTIMATED,,,,,,,2013-05-10,2013-05-13,ESTIMATED,2011-09,,2011-09-30,2012-11,2012-11-30,2013-05,ACTUAL,2013-05-31,2013-05,ACTUAL,2013-05-31,,INTERVENTIONAL,,,The Intensive Pharmacokinetics Sub-study of Encore1 (ENCORE1-PK),"The Intensive Pharmacokinetics Sub-study of Encore1: A Randomised, Double-blind, Placebo-controlled, Clinical Trial to Compare the Safety and Efficacy of Reduced Dose Efavirenz (EFV) With Standard Dose EFV Plus Two Nucleotide Reverse Transcriptase Inhibitors (N(t)RTI) in Antiretroviral-naïve HIV-infected Individuals Over 96 Weeks",COMPLETED,,PHASE3,40.0,ACTUAL,Kirby Institute,,2.0,,,False,,,,False,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER_GOV,,,,,,
NCT00999388,,2009-10-20,,,2018-04-04,2009-10-20,2009-10-21,ESTIMATED,,,,,,,2018-04-04,2018-04-05,ACTUAL,2009-10-14,,2009-10-14,2018-01-25,2018-01-25,2018-01-25,,2018-01-25,,,,,OBSERVATIONAL,,,Shanghai Parkinson's Study,Shanghai Parkinson's Study,COMPLETED,,,149.0,ACTUAL,National Institutes of Health Clinical Center (CC),,,,,False,,,,,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,NIH,,,,,,
NCT01690000,,2012-06-28,2016-02-01,,2016-03-31,2012-09-17,2012-09-21,ESTIMATED,2016-03-31,2016-05-06,ESTIMATED,,,,2016-03-31,2016-05-06,ESTIMATED,2012-11,,2012-11-30,2013-04,2013-04-30,2014-06,ACTUAL,2014-06-30,2014-06,ACTUAL,2014-06-30,,INTERVENTIONAL,MelaOst,,Treatment of Osteopenia With Melatonin,"Treatment of Osteopenia With Melatonin: Effects on BMD, Muscle Strength and Quality of Life",COMPLETED,,NA,81.0,ACTUAL,University of Aarhus,,3.0,,,False,,,,True,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT04191863,,2019-12-03,,,2020-05-05,2019-12-05,2019-12-10,ACTUAL,,,,,,,2020-05-05,2020-05-07,ACTUAL,2018-09-01,ACTUAL,2018-09-01,2020-05,2020-05-31,2019-08-01,ACTUAL,2019-08-01,2019-06-01,ACTUAL,2019-06-01,,OBSERVATIONAL,,,Sleep Architecture in Valproate-induced Nocturnal Enuresis in Primary School and Preschool Children.,PSG in Valproate-induced Nocturnal Enuresis in Children,COMPLETED,,,260.0,ACTUAL,Mansoura University Hospital,,,2.0,,False,,,,False,False,False,,,,,,,,,UNDECIDED,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,False
NCT05279664,,2022-01-11,,,2024-01-08,2022-03-06,2022-03-15,ACTUAL,,,,,,,2024-01-08,2024-01-10,ACTUAL,2023-02-09,ACTUAL,2023-02-09,2024-01,2024-01-31,2027-05-01,ESTIMATED,2027-05-01,2027-02-01,ESTIMATED,2027-02-01,,INTERVENTIONAL,RIC-NEC,,RIC-NEC Randomized Controlled Trial,RIC-NEC Phase II Feasibility Randomized Controlled Trial: Remote Ischemic Conditioning in Necrotizing Enterocolitis,RECRUITING,,PHASE2,78.0,ESTIMATED,The Hospital for Sick Children,,2.0,,,False,,,,True,False,False,,,,,,,,,NO,,2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,OTHER,,,,,,
NCT03200028,,2017-06-21,,,2019-10-10,2017-06-26,2017-06-27,ACTUAL,,,,,,,2019-10-10,2019-10-15,ACTUAL,2018-04-01,ACTUAL,2018-04-01,2019-10,2019-10-31,2019-02-28,ACTUAL,2019-02-28,2019-02-28,ACTUAL,2019-02-28,,INTERVENTIONAL,,,CCTAP: Cognitive Control Training for Treatment of AUD-PTSD,CCTAP: Cognitive Control Training for Treatment of AUD-PTSD,COMPLETED,,NA,9.0,ACTUAL,Posit Science Corporation,,1.0,,,False,,,,,False,False,,,,,,,,,,,2025-06-25 19:53:19.925215,2025-06-25 19:53:19.925215,INDUSTRY,,,,,,
NCT01864590,,2013-05-19,,,2016-10-26,2013-05-24,2013-05-29,ESTIMATED,,,,,,,2016-10-26,2016-10-27,ESTIMATED,2011-06,,2011-06-30,2016-10,2016-10-31,2013-06,ACTUAL,2013-06-30,2013-04,ACTUAL,2013-04-30,,INTERVENTIONAL,,,Open Abdomen: Vacuum Pack Versus Sylo Bag and Mesh Protocol,Open Abdomen: Vacuum Pack Versus Sylo Bag and Mesh Protocol - A Randomized Trial,COMPLETED,,NA,52.0,ACTUAL,Universidad de Antioquia,,2.0,,,False,,,,False,,,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT05928494,,2023-06-23,,,2024-05-22,2023-06-23,2023-07-03,ACTUAL,,,,,,,2024-05-22,2024-05-24,ACTUAL,2022-08-01,ACTUAL,2022-08-01,2024-05,2024-05-31,2022-10-31,ACTUAL,2022-10-31,2022-09-30,ACTUAL,2022-09-30,,INTERVENTIONAL,,,The Effect of High Reality Simulation Method on Problem Solving Skills and Anxiety Levels of Midwifery Students,The Effect of Scenario Based High Reality Simulation Method on Problem Solving Skills and Anxiety Levels of Midwifery Students,COMPLETED,,NA,78.0,ACTUAL,Saglik Bilimleri Universitesi,,2.0,,,False,,,,False,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT06092905,,2023-10-15,,,2023-10-15,2023-10-15,2023-10-23,ACTUAL,,,,,,,2023-10-15,2023-10-23,ACTUAL,2023-04-01,ACTUAL,2023-04-01,2023-10,2023-10-31,2023-12,ESTIMATED,2023-12-31,2023-11,ESTIMATED,2023-11-30,,OBSERVATIONAL,,,Endoscopic Common Bile Duct Stones Clearance During Pregnancy,Endoscopic Common Bile Duct Stones Clearance During Pregnancy: Challenges and Solutions,RECRUITING,,,30.0,ESTIMATED,South Valley University,,,1.0,,False,,,,False,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,False
NCT05758532,,2023-02-10,,,2024-05-27,2023-02-24,2023-03-07,ACTUAL,,,,,,,2024-05-27,2024-05-29,ACTUAL,2023-03-17,ACTUAL,2023-03-17,2024-05,2024-05-31,2026-12,ESTIMATED,2026-12-31,2026-04,ESTIMATED,2026-04-30,,INTERVENTIONAL,NEMAU,,Non-specific Effects of a Modified Measles Vaccination Schedule to Prevent Allergy and Unrelated Infection in Children,Harnessing the Beneficial Non-specific Effects of Measles-mumps-rubella Vaccine in Children on Infection With Unrelated Pathogens and Allergic Diseases - a Single-centre Phase IV RCT With a Factorial Design,RECRUITING,,PHASE4,500.0,ESTIMATED,Pediatric Clinical Research Platform,,4.0,,,False,,,,True,False,False,,,,,,"After database lock, a 12-month embargo period will be in place, to allow adequate time for analyses and publication outputs. Data transfer to a FAIR plateform will occur during the embargo period.","Researchers from a recognised research institution can approach the PI for access of data.

The researcher will need to provide evidence that the proposed use of the data has been ethically reviewed and approved by an Institutional Review Board (IRB)/ Human Research Ethics Committee(HREC), and accept HUG's conditions, under a collaborator agreement.",,YES,"Under the terms of the funding agreement with the Swiss National Science Foundation, the NEMAU trial has a data sharing agreement in place.

An anonymised Individual Participant Data (IPD) dataset and a data dictionary will be provided to a FAIR platform after database lock.",2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT06080945,,2023-09-20,,,2023-10-07,2023-10-07,2023-10-12,ACTUAL,,,,,,,2023-10-07,2023-10-12,ACTUAL,2022-01-04,ACTUAL,2022-01-04,2023-10,2023-10-31,2024-06-30,ESTIMATED,2024-06-30,2023-11-08,ESTIMATED,2023-11-08,,INTERVENTIONAL,,,Tailored Pharmacist-led Intervention to Improve Adherence to Budesonide,Tailored Pharmacist-led Intervention to Improve Adherence to Budesonide in Asthmatic Children,RECRUITING,,NA,102.0,ESTIMATED,Shaoxing Maternity and Child Health Care Hospital,,2.0,,,False,,,,False,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT00201656,,2005-09-13,,,2014-12-17,2005-09-13,2005-09-20,ESTIMATED,,,,,,,2014-12-17,2014-12-19,ESTIMATED,2004-11,,2004-11-30,2014-12,2014-12-31,2014-04,ACTUAL,2014-04-30,2013-11,ACTUAL,2013-11-30,,INTERVENTIONAL,PROMCerclage,,Removal Versus Retention of Cerclage in Preterm Premature Rupture of Membranes (PPROM),Removal Versus Retention of Cervical Cerclage in Preterm Premature Rupture of Membranes-A Multicenter Randomized Clinical Trial,TERMINATED,,PHASE4,58.0,ACTUAL,Pediatrix,,2.0,,This trial was terminated following a futility analysis confirming futility of continuing the study,False,,,,True,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT00913445,,2009-06-02,,,2010-06-10,2009-06-03,2009-06-04,ESTIMATED,,,,,,,2010-06-10,2010-06-11,ESTIMATED,2009-07,,2009-07-31,2010-05,2010-05-31,2010-05,ACTUAL,2010-05-31,2010-05,ACTUAL,2010-05-31,,INTERVENTIONAL,,,Wound Healing After Emergency Appendicectomy,"Wound Healing and Cosmetic Result After Emergency Appendicectomy in Adult Patients: a Prospective, Randomised Trial Comparing Two Methods of Wound Closure",COMPLETED,,PHASE4,200.0,ESTIMATED,Tampere University Hospital,,2.0,,,False,,,,False,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT00061009,,2003-05-19,,,2008-03-03,2003-05-19,2003-05-20,ESTIMATED,,,,,,,2008-03-03,2008-03-04,ESTIMATED,2003-05,,2003-05-31,2006-01,2006-01-31,2006-01,,2006-01-31,,,,,OBSERVATIONAL,,,Hypnosis in Autonomic Function,Relationship of Autonomic Function to Hypnotic Susceptibility,COMPLETED,,,93.0,,National Institutes of Health Clinical Center (CC),,,,,False,,,,,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,NIH,,,,,,
NCT06257563,,2024-01-19,,,2024-02-20,2024-02-05,2024-02-14,ACTUAL,,,,,,,2024-02-20,2024-02-22,ACTUAL,2024-02,ESTIMATED,2024-02-29,2024-02,2024-02-29,2024-04,ESTIMATED,2024-04-30,2024-03,ESTIMATED,2024-03-31,,INTERVENTIONAL,TEND,,Toolkit for Experiential Well-beiNg in Dementia (TEND),Co-developing a Bio-experiential Approach and Intervention to Support the Mental Health and Well-being of Dementia Patients and Their Caregivers at Home (TEND),WITHDRAWN,,NA,0.0,ACTUAL,Massachusetts General Hospital,,1.0,,We are withdrawing our study due to regulatory requirements from our funding source.,False,,,,False,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT03556267,,2018-05-19,,,2021-02-15,2018-06-12,2018-06-14,ACTUAL,,,,,,,2021-02-15,2021-02-16,ACTUAL,2019-08-14,ACTUAL,2019-08-14,2021-02,2021-02-28,2021-02-14,ACTUAL,2021-02-14,2020-10-30,ACTUAL,2020-10-30,,INTERVENTIONAL,,,Regional Anesthesia of Cesarean Section,Role of Beta Trace Protein Assay During Spinal Anesthesia of Cesarean Section,COMPLETED,,NA,90.0,ACTUAL,Cairo University,,2.0,,,False,,,,True,False,False,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT03989752,,2019-06-07,,,2023-09-06,2019-06-17,2019-06-18,ACTUAL,,,,,,,2023-09-06,2023-09-08,ACTUAL,2019-03-14,ACTUAL,2019-03-14,2023-09,2023-09-30,2022-01-07,ACTUAL,2022-01-07,2022-01-07,ACTUAL,2022-01-07,,INTERVENTIONAL,,,Overground Walking Program With Robotic Exoskeleton in Long-term Manual Wheelchair Users With Spinal Cord Injury,Effects of an Overground Walking Program With Robotic Exoskeleton in Long-term Manual Wheelchair Users With a Chronic Spinal Cord Injury,TERMINATED,,NA,16.0,ACTUAL,Centre for Interdisciplinary Research in Rehabilitation of Greater Montreal,,1.0,,COVID-19,False,,,,True,False,False,,,,,,Beginning 3 months and ending 5 years following article publication,Data access requests will be reviewed by an external Independent Review Panel. Requestors will be required to sign a Data Access Agreement,http://crir.ca,YES,"Deidentified participant data that underlie the results submitted for publication in peer-reviewed journal (text, tables, figures, and appendices).",2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,OTHER,,,,,,
NCT02089945,,2014-03-14,,,2016-10-14,2014-03-14,2014-03-18,ESTIMATED,,,,,,,2016-10-14,2016-10-17,ESTIMATED,2014-02,,2014-02-28,2016-10,2016-10-31,2015-09,ACTUAL,2015-09-30,2015-09,ACTUAL,2015-09-30,,OBSERVATIONAL,,,Pilot Study of Cognitive and Functional Outcomes Following TAVI,Cognitive and Functional Outcomes Following Transcatheter Aortic Valve Implantation (TAVI): a Pilot Study,COMPLETED,,,14.0,ACTUAL,Sunnybrook Health Sciences Centre,,,1.0,,False,,,,False,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,False
NCT00006268,,2000-09-11,,,2013-06-20,2003-01-26,2003-01-27,ESTIMATED,,,,,,,2013-06-20,2013-06-24,ESTIMATED,2000-10,,2000-10-31,2005-03,2005-03-31,2005-03,ACTUAL,2005-03-31,,,,,INTERVENTIONAL,,,Immunotoxin Therapy in Treating Patients With Malignant Glioma,Interstitial Infusion of IL 13-PE38QQR Cytotoxin in Recurrent Malignant Glioma: Phase I/II Study,COMPLETED,,PHASE1/PHASE2,,,National Cancer Institute (NCI),,,,,False,,,,,,,,,,,,,,,,,2025-06-24 22:04:59.160261,2025-06-24 22:04:59.160261,NIH,,,,,,
NCT00000250,,1999-09-20,,,2015-05-26,1999-09-20,1999-09-21,ESTIMATED,,,,,,,2015-05-26,2015-05-28,ESTIMATED,1993-12,,1993-12-31,2015-05,2015-05-31,1995-05,ACTUAL,1995-05-31,1995-05,ACTUAL,1995-05-31,,INTERVENTIONAL,,,Cold Water Immersion Modulates Reinforcing Effects of Nitrous Oxide - 2,Cold Water Immersion Modulates Reinforcing Effects of Nitrous Oxide,COMPLETED,,PHASE2,12.0,ACTUAL,University of Chicago,,2.0,,,False,,,,,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT01648114,,2012-07-18,,,2015-03-12,2012-07-23,2012-07-24,ESTIMATED,,,,,,,2015-03-12,2015-03-17,ESTIMATED,2012-08,,2012-08-31,2015-03,2015-03-31,2014-02,ACTUAL,2014-02-28,2013-05,ACTUAL,2013-05-31,,INTERVENTIONAL,ABFS,,A Randomized Controlled Trial of an Antenatal Intervention to Increase Exclusive Breastfeeding,A Randomized Controlled Trial of an Antenatal Intervention to Increase Exclusive Breastfeeding,COMPLETED,,NA,472.0,ACTUAL,The University of Hong Kong,,2.0,,,False,,,,False,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT03046394,,2017-02-06,,,2017-05-03,2017-02-06,2017-02-08,ESTIMATED,,,,,,,2017-05-03,2017-05-04,ACTUAL,2017-02-06,ACTUAL,2017-02-06,2017-05,2017-05-31,2017-05-03,ACTUAL,2017-05-03,2017-02-10,ACTUAL,2017-02-10,,INTERVENTIONAL,ProSto,,Comparison Between Three Types of Prosthetic Feet,Comparison Between Three Types of Prosthetic Feet: a Randomized Double-blind Controlled Single-subject Multiple-rater Trial,COMPLETED,,NA,1.0,ACTUAL,"University Rehabilitation Institute, Republic of Slovenia",,3.0,,,False,,,,True,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT00338325,,2006-06-15,,,2015-06-15,2006-06-15,2006-06-20,ESTIMATED,,,,,,,2015-06-15,2015-06-16,ESTIMATED,2005-06,,2005-06-30,2015-06,2015-06-30,2006-04,ACTUAL,2006-04-30,2005-06,ACTUAL,2005-06-30,,INTERVENTIONAL,,,Reading Preoperatively to Reduce Anxiety in Day Surgery,A Randomized Trial Of Reading Preoperatively To Day Surgery Children To Reduce Anxiety and Pain,COMPLETED,,PHASE2,200.0,ACTUAL,IWK Health Centre,,2.0,,,False,,,,False,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,
NCT02716194,,2016-03-17,2018-01-14,,2021-05-03,2016-03-17,2016-03-23,ESTIMATED,2018-01-14,2018-09-20,ACTUAL,,,,2021-05-03,2021-05-25,ACTUAL,2016-03-03,ACTUAL,2016-03-03,2021-05,2021-05-31,2017-01-17,ACTUAL,2017-01-17,2017-01-17,ACTUAL,2017-01-17,,INTERVENTIONAL,,,BAX 826 Dose-Escalation Safety Study,"A Phase 1, Prospective, Open Label, Two Period, Fixed Sequence, Dose-Escalation Study of the PK and Safety of BAX 826 (PSA-rFVIII) in Previously Treated Patients With Severe (FVIII <1%) Hemophilia A",COMPLETED,,PHASE1,40.0,ACTUAL,Takeda,,3.0,,,False,,,,False,,,,,,,,,,,,,2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,INDUSTRY,,,,,,
NCT02679196,,2016-01-29,,,2019-02-04,2016-02-05,2016-02-10,ESTIMATED,,,,,,,2019-02-04,2019-02-06,ACTUAL,2016-07,,2016-07-31,2019-02,2019-02-28,2018-12-24,ACTUAL,2018-12-24,2018-12-24,ACTUAL,2018-12-24,,INTERVENTIONAL,,,"The Safety, Pharmacokinetic and Pharmacodynamic Effect of KA2237 (PI3 Kinase p110β/δ Inhibitor) In B Cell Lymphoma","An Open Label Ascending Dose Study Evaluating the Safety/Tolerability, Pharmacokinetic and Pharmacodynamic Effects of KA2237 In Patients With B Cell Lymphoma",COMPLETED,,PHASE1,23.0,ACTUAL,Karus Therapeutics Limited,,1.0,,,False,,,,False,,,,,,,,,,,UNDECIDED,,2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,INDUSTRY,,,,,,
NCT05730192,,2023-01-23,,,2024-07-01,2023-02-07,2023-02-15,ACTUAL,,,,,,,2024-07-01,2024-07-03,ACTUAL,2023-05-10,ACTUAL,2023-05-10,2024-07,2024-07-31,2023-11-29,ACTUAL,2023-11-29,2023-11-20,ACTUAL,2023-11-20,,INTERVENTIONAL,EAGLE,,EAGLE Trial CADDIE Artificial Intelligence Endoscopy,Evaluation of Artificial Intelligence for Detection of Gastrointestinal Lesions in Endoscopy (EAGLE),COMPLETED,,NA,985.0,ACTUAL,Odin Medical,,2.0,,,False,,,,False,False,False,,,False,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,INDUSTRY,,,,,,
NCT00211042,,2005-09-13,,,2013-04-29,2005-09-13,2005-09-21,ESTIMATED,,,,,,,2013-04-29,2013-04-30,ESTIMATED,2004-02,,2004-02-29,2013-04,2013-04-30,2006-12,ACTUAL,2006-12-31,,,,,OBSERVATIONAL,,,A Study of Patients With Pure Red Cell Aplasia Associated With Recombinant Human Erythropoietin Treatment,"Observational, Multicenter Study of Subjects With Pure Red Cell Aplasia Associated With r-HuEPO Treatment",COMPLETED,,,52.0,ACTUAL,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",,,1.0,,False,,,,True,,,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,INDUSTRY,,,,,,
NCT05529485,,2022-09-02,,,2022-09-07,2022-09-02,2022-09-07,ACTUAL,,,,,,,2022-09-07,2022-09-10,ACTUAL,2022-01-12,ACTUAL,2022-01-12,2022-09,2022-09-30,2022-08-01,ACTUAL,2022-08-01,2022-08-01,ACTUAL,2022-08-01,,OBSERVATIONAL,PREDICSPILOT,,Quantification of Factors Influencing Endothelial Damage During Phacoemulsification,Research and Quantification of Factors Influencing Endothelial Damage During Phacoemulsification,COMPLETED,,,121.0,ACTUAL,Centre Hospitalier Régional Metz-Thionville,,,,,False,,,,False,False,False,,,,,,,,,,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,False
NCT05667909,,2022-12-07,,,2023-03-15,2022-12-28,2022-12-29,ACTUAL,,,,,,,2023-03-15,2023-03-17,ACTUAL,2023-06,ESTIMATED,2023-06-30,2023-03,2023-03-31,2023-12,ESTIMATED,2023-12-31,2023-07,ESTIMATED,2023-07-31,,OBSERVATIONAL,,,Prognostic Model of Rituximab in the Treatment of MN,Development and Validation of a Prognostic Model for Idiopathic Membranous Nephropathy Treated With Rituximab,UNKNOWN,NOT_YET_RECRUITING,,50.0,ESTIMATED,Qianfoshan Hospital,,,2.0,,False,,,,,True,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,False
NCT06481657,,2024-06-25,,,2024-06-25,2024-06-25,2024-07-01,ACTUAL,,,,,,,2024-06-25,2024-07-01,ACTUAL,2022-02-10,ACTUAL,2022-02-10,2024-06,2024-06-30,2023-08-20,ACTUAL,2023-08-20,2023-08-20,ACTUAL,2023-08-20,,INTERVENTIONAL,,,The Effect of Oxygen Supplementation in Training in Heart Failure Patients on Aerobic Performance and Quality of Life,The Effect of Oxygen Supplementation in Training in Heart Failure Patients on Aerobic Performance and Quality of Life,COMPLETED,,NA,24.0,ACTUAL,Laniado Hospital,,2.0,,,False,,,,,False,False,,,,,,Starting from the publication of the research for 15 years,An application should be submitted to the research unit manager of Laniado Hospital,,YES,all IPD that underlie results in a publication,2025-06-25 18:51:03.905308,2025-06-25 18:51:03.905308,OTHER,,,,,,
NCT03958266,,2019-05-15,,,2023-02-08,2019-05-17,2019-05-22,ACTUAL,,,,,,,2023-02-08,2023-02-10,ACTUAL,2019-07,ESTIMATED,2019-07-31,2019-05,2019-05-31,2020-12,ESTIMATED,2020-12-31,2020-09,ESTIMATED,2020-09-30,,OBSERVATIONAL,,,MyIBD Care - Feasibility Study,A Feasibility Study of a Novel Mobile Phone Application in the Long Term Management of Patients With Inflammatory Bowel Diseases,WITHDRAWN,,,0.0,ACTUAL,Barts & The London NHS Trust,,,1.0,COVID pandemic,False,,,,False,False,False,,,,,,,,,NO,,2025-06-25 12:16:26.243304,2025-06-25 12:16:26.243304,OTHER,,,,,,False
